# archfnmbase            ra         dec        mjd          filt  airm  object       expt  seqid                     class                type   moonsep moonill medpixval  
c4d_211210_044718_ori      9.499996 -43.998000 59558.199523 i      1.78 ELAIS-E2     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     39.68   0.410       3075 
c4d_220121_042453_ori    116.320004 -26.250000 59600.183953 r      1.00 DECaPS-West   50.0 DECaPSWest-DDF-B          DECaPS-West          GAL      59.63   0.901       2263 
c4d_210515_075811_ori    270.889996 -29.530000 59349.332075 r      1.01 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS-East          GAL     175.41   0.110          0 
c4d_210522_095524_ori      9.499996 -43.998000 59356.413481 r      1.36 ELAIS-E2      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    138.90   0.775          0 
c4d_210331_004749_ori    150.000000   3.100000 59304.033217 r      1.28 COSMOS-1      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     72.18   0.926          0 
c4d_210524_074819_ori    270.889996 -29.530000 59358.325220 g      1.03 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS-East          GAL      59.72   0.931       3158 
c4d_211224_055341_ori    116.320004 -26.250000 59572.245623 z      1.01 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL      56.44   0.779       2166 
c4d_211216_014944_ori      7.874596 -43.009600 59564.076205 r      1.15 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     71.04   0.917          0 
c4d_210929_045153_ori      7.874596 -43.009600 59486.202706 i      1.03 ELAIS-E1     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    108.52   0.490          0 
c4d_211011_083314_ori    116.320004 -26.250000 59498.356413 r      1.21 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL     120.35   0.302          0 
c4d_210418_004711_ori    150.000000   3.100000 59322.032775 i      1.20 COSMOS-1     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     60.09   0.286          0 
c4d_210926_081806_ori    116.320004 -26.250000 59483.345906 i      1.57 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL      71.47   0.749          0 
c4d_211101_052000_ori      7.874596 -43.009600 59519.222228 i      1.23 ELAIS-E1     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL    143.77   0.176          0 
c4d_210509_012001_ori    150.000000   3.100000 59343.055574 i      1.33 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    131.14   0.068          0 
c4d_211029_082233_ori    116.320004 -26.250000 59516.349002 r      1.07 DECaPS-West   50.0 DECaPSWest-DDF-B          DECaPS-West          GAL      52.58   0.450       2340 
c4d_210409_014543_ori    150.000000   3.100000 59313.073420 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    160.82   0.088          0 
c4d_211216_053934_ori    116.320004 -26.250000 59564.235817 g      1.04 DECaPS-West   96.0 DECaPSWest-DDF-B          DECaPS-West          GAL      78.60   0.925          0 
c4d_211020_083609_ori    116.320004 -26.250000 59507.358445 z      1.11 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL      96.34   0.999          0 
c4d_210922_235707_ori    270.889996 -29.530000 59479.998007 i      1.04 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS-East          GAL     112.79   0.959          0 
c4d_211017_025653_ori      9.499996 -43.998000 59504.122845 i      1.04 ELAIS-E2     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     38.62   0.879       4274 
c4d_211228_060903_ori    116.320004 -26.250000 59576.256291 z      1.00 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      83.60   0.376          0 
c4d_210512_081812_ori    270.889996 -29.530000 59346.345978 r      1.02 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS-East          GAL     146.66   0.003          0 
c4d_210522_070926_ori    270.889996 -29.530000 59356.298218 r      1.00 DECaPS-East   50.0 DECaPSEast-DDF-B          DECaPS-East          GAL      89.30   0.764          0 
