# archfnmbase            ra         dec        mjd          filt  airm  object       expt  seqid                     class                type   moonsep moonill medpixval  
c4d_210515_075811_ori    270.889996 -29.530000 59349.332075 r      1.01 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL     175.41   0.110          0 
c4d_210522_095524_ori      9.499996 -43.998000 59356.413481 r      1.36 ELAIS-E2      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    138.90   0.775          0 
c4d_210331_004749_ori    150.000000   3.100000 59304.033217 r      1.28 COSMOS-1      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     72.18   0.926          0 
c4d_210524_074819_ori    270.889996 -29.530000 59358.325220 g      1.03 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS               GAL      59.72   0.931       3510 
c4d_210418_004711_ori    150.000000   3.100000 59322.032775 i      1.20 COSMOS-1     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     60.09   0.286          0 
c4d_210509_012001_ori    150.000000   3.100000 59343.055574 i      1.33 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    131.14   0.068          0 
c4d_210409_014543_ori    150.000000   3.100000 59313.073420 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    160.82   0.088          0 
c4d_210512_081812_ori    270.889996 -29.530000 59346.345978 r      1.02 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL     146.66   0.003          0 
c4d_210522_070926_ori    270.889996 -29.530000 59356.298218 r      1.00 DECaPS-East   50.0 DECaPSEast-DDF-B          DECaPS               GAL      89.30   0.764          0 
c4d_210418_025650_ori    150.780000   1.750000 59322.122811 i      1.34 COSMOS-3     130.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     60.49   0.294          0 
c4d_210521_234834_ori    149.220000   1.750000 59355.992066 i      1.23 COSMOS-2      90.0 COSMOS-AGN-1              COSMOS-AGN           EGAL     31.95   0.733       3722 
c4d_210527_065143_ori    270.889996 -29.530000 59361.285922 r      1.00 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL      14.65   0.990      11744 
c4d_210331_003734_ori    149.220000   1.750000 59304.026093 i      1.27 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     72.51   0.927          0 
c4d_210418_005552_ori    150.780000   1.750000 59322.038799 g      1.18 COSMOS-3      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     61.37   0.286          0 
c4d_210524_075024_ori    270.889996 -29.530000 59358.326677 r      1.04 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL      59.70   0.931       3180 
c4d_210409_091318_ori    270.889996 -29.530000 59313.384236 z      1.00 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      78.63   0.071          0 
c4d_210319_024912_ori    149.220000   1.750000 59292.117501 i      1.18 COSMOS-2     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     90.11   0.272          0 
c4d_210324_015154_ori    149.220000   1.750000 59297.077717 i      1.20 COSMOS-2     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     32.59   0.739       4003 
c4d_210328_032613_ori    150.000000   3.100000 59301.143217 r      1.24 COSMOS-1      30.0 COSMOS-DDF-SEQ-B          COSMOS-MOON          EGAL     30.81   0.992       3264 
c4d_210412_022040_ori    150.780000   1.750000 59316.097687 i      1.21 COSMOS-3     130.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL    128.99   0.001          0 
c4d_210515_075407_ori    270.889996 -29.530000 59349.329258 i      1.01 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL     175.43   0.109          0 
c4d_210527_085835_ori      9.499996 -43.998000 59361.374027 g      1.53 ELAIS-E2      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     88.57   0.988          0 
c4d_210331_005545_ori    149.220000   1.750000 59304.038720 i      1.24 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     72.69   0.926          0 
c4d_210506_084945_ori    270.889996 -29.530000 59340.367882 g      1.03 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL      75.44   0.251          0 
c4d_210425_091002_ori    270.889996 -29.530000 59329.381973 r      1.01 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL      82.17   0.952          0 
c4d_210412_074449_ori    270.889996 -29.530000 59316.322792 z      1.08 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL     113.96   0.002          0 
c4d_210412_013104_ori    150.000000   3.100000 59316.063241 i      1.19 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    128.52   0.001          0 
c4d_210403_004640_ori    150.000000   3.100000 59307.032411 i      1.26 COSMOS-1     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    114.60   0.654          0 
c4d_210412_001104_ori    150.780000   1.750000 59316.007686 r      1.24 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    130.26   0.001          0 
c4d_210322_031353_ori    150.000000   3.100000 59295.134643 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     55.38   0.552       2042 
c4d_210412_002313_ori    149.220000   1.750000 59316.016133 r      1.21 COSMOS-2      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    128.61   0.001          0 
c4d_210409_005010_ori    150.780000   1.750000 59313.034841 r      1.20 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    161.45   0.090          0 
c4d_210428_235126_ori    150.000000   3.100000 59332.994054 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     94.73   0.949          0 
c4d_210425_090425_ori    270.889996 -29.530000 59329.378067 r      1.01 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL      82.22   0.952          0 
c4d_210319_023945_ori    150.000000   3.100000 59292.110947 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     90.46   0.272          0 
c4d_210328_073215_ori    270.889996 -29.530000 59301.314069 r      1.25 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL      91.06   0.995          0 
c4d_210530_065105_ori    270.889996 -29.530000 59364.285480 g      1.01 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS               GAL      30.88   0.804       7392 
c4d_210429_005821_ori    150.780000   1.750000 59333.040531 r      1.19 COSMOS-3      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     94.22   0.946          0 
c4d_210527_081711_ori    270.889996 -29.530000 59361.345271 i      1.09 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL      14.07   0.988      10162 
c4d_210524_070008_ori    270.889996 -29.530000 59358.291769 r      1.00 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL      60.16   0.929          0 
c4d_210412_002918_ori    150.780000   1.750000 59316.020349 r      1.21 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    130.09   0.001          0 
c4d_210530_100610_ori      7.874596 -43.009600 59364.420952 g      1.20 ELAIS-E1      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     53.87   0.792       2259 
c4d_210518_072704_ori    270.889996 -29.530000 59352.310463 i      1.00 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL     141.94   0.349          0 
c4d_210425_012324_ori    150.000000   3.100000 59329.057921 r      1.23 COSMOS-1      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     37.13   0.934       3862 
c4d_210512_084336_ori    270.889996 -29.530000 59346.363618 g      1.04 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL     146.92   0.003          0 
c4d_210421_012326_ori    150.000000   3.100000 59325.057946 i      1.21 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     25.47   0.580       6287 
c4d_210512_021312_ori    149.220000   1.750000 59346.092503 g      1.62 COSMOS-2      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     96.30   0.001          0 
c4d_210418_014255_ori    149.220000   1.750000 59322.071476 r      1.20 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     59.68   0.289       2045 
c4d_210522_093911_ori      7.874596 -43.009600 59356.402212 i      1.40 ELAIS-E1     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    140.05   0.774          0 
c4d_210406_091151_ori    270.889996 -29.530000 59310.383238 i      1.01 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      40.55   0.296       2723 
c4d_210602_072258_ori    270.889996 -29.530000 59367.307617 z      1.05 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      71.26   0.501          0 
c4d_210328_020657_ori    149.220000   1.750000 59301.088170 i      1.18 COSMOS-2      30.0 COSMOS-DDF-SEQ-A          COSMOS-MOON          EGAL     31.31   0.991       3173 
c4d_210527_092922_ori      7.874596 -43.009600 59361.395405 g      1.36 ELAIS-E1      60.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     87.90   0.987          0 
c4d_210506_084255_ori    270.889996 -29.530000 59340.363141 z      1.02 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL      75.40   0.252          0 
c4d_210602_094652_ori      9.499996 -43.998000 59367.407553 g      1.24 ELAIS-E2      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     38.21   0.491       2047 
c4d_210527_062556_ori    270.889996 -29.530000 59361.268011 z      1.00 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      14.82   0.990       4789 
c4d_210509_002816_ori    149.220000   1.750000 59343.019640 i      1.21 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    131.09   0.069          0 
c4d_210328_085743_ori    270.889996 -29.530000 59301.373419 z      1.06 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      90.33   0.996          0 
c4d_210427_001415_ori    150.000000   3.100000 59331.009900 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     65.34   0.999          0 
c4d_210515_025109_ori    149.220000   1.750000 59349.118859 g      2.10 COSMOS-2      60.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     61.98   0.097          0 
c4d_210503_000145_ori    150.780000   1.750000 59337.001225 r      1.18 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    147.91   0.590          0 
c4d_210328_014752_ori    149.220000   1.750000 59301.074914 i      1.19 COSMOS-2      30.0 COSMOS-DDF-SEQ-A          COSMOS-MOON          EGAL     31.20   0.991       3268 
c4d_210425_013125_ori    149.220000   1.750000 59329.063486 i      1.22 COSMOS-2     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     37.99   0.935       5433 
c4d_210331_004335_ori    150.780000   1.750000 59304.030278 i      1.27 COSMOS-3     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     71.05   0.927          0 
c4d_210328_032150_ori    150.780000   1.750000 59301.140165 i      1.21 COSMOS-3      30.0 COSMOS-DDF-SEQ-B          COSMOS-MOON          EGAL     30.18   0.992       3302 
c4d_210331_021402_ori    149.220000   1.750000 59304.093084 r      1.18 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     73.43   0.923          0 
c4d_210530_064025_ori    270.889996 -29.530000 59364.278070 g      1.00 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS               GAL      30.81   0.805       5674 
c4d_210521_235500_ori    150.780000   1.750000 59355.996539 g      1.23 COSMOS-3      80.0 COSMOS-AGN-1              COSMOS-AGN           EGAL     30.43   0.734       2695 
c4d_210506_083320_ori    270.889996 -29.530000 59340.356484 g      1.01 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS               GAL      75.33   0.252          0 
c4d_210506_002441_ori    150.780000   1.750000 59340.017147 g      1.19 COSMOS-3      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    162.99   0.283          0 
c4d_210322_024737_ori    150.780000   1.750000 59295.116410 g      1.18 COSMOS-3      10.0 COSMOS-DDF-SEQ-B          NONE                 None     56.91   0.551          0 
c4d_210429_024330_ori    150.780000   1.750000 59333.113551 r      1.46 COSMOS-3      86.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     95.17   0.942          0 
c4d_210524_002728_ori    150.780000   1.750000 59358.019084 g      1.32 COSMOS-3      10.0 COSMOS-AGN-1              NONE                 None     57.62   0.911          0 
c4d_210425_031904_ori    150.000000   3.100000 59329.138242 r      1.62 COSMOS-1      86.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     37.79   0.939       4876 
c4d_210524_000645_ori    150.000000   3.100000 59358.004689 g      1.29 COSMOS-1      80.0 COSMOS-AGN-1              COSMOS-AGN           EGAL     58.48   0.910       3162 
c4d_210324_084916_ori    270.889996 -29.530000 59297.367552 z      1.10 DECaPS-East   30.0 DECaPSEast-DDF            DECaPS               GAL     146.04   0.765          0 
c4d_210522_072334_ori    270.889996 -29.530000 59356.308036 g      1.01 DECaPS-East   10.0 DECaPSEast-DDF-A          NONE                 None     89.16   0.765          0 
c4d_210427_081932_ori    270.889996 -29.530000 59331.346907 z      1.00 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      52.40   0.999       3466 
c4d_210522_084743_ori      7.874596 -43.009600 59356.366476 r      1.69 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    140.24   0.771          0 
c4d_210328_090302_ori    270.889996 -29.530000 59301.377114 z      1.05 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      90.28   0.996          0 
c4d_210530_070219_ori    270.889996 -29.530000 59364.293285 g      1.01 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL      30.95   0.803       7630 
c4d_210427_002944_ori    150.780000   1.750000 59331.020654 i      1.18 COSMOS-3     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     64.43   0.999          0 
