            main_id             |        ra        |        dec        |otype_txt
--------------------------------|------------------|-------------------|---------
"2MASS J00313360-4359057"       |7.889991002760003 |-43.9849022342     |"Sy2"    
"2MASS J00325409-4246106"       |8.225490791779999 |-42.76954117456    |"AGN"    
"2MASS J00331645-4310004"       |8.31855281561     |-43.1667883886     |"LIN"    
"2MASS J00334880-4253570"       |8.453345833333334 |-42.89918055555555 |"Sy2"    
"2MASS J00344213-4413267"       |8.6755315806      |-44.22410217070001 |"Sy2"    
"2MASS J00344714-4252098"       |8.696303248369999 |-42.86942396108    |"LIN"    
"2MASS J00351562-4333576"       |8.81502147972     |-43.56603188943    |"Sy1"    
"2MASS J00352015-4336453"       |8.83386918426     |-43.61266867033    |"AGN"    
"2MASS J00372109-4342402"       |9.33777408918     |-43.71113664067    |"Sy2"    
"2MASS J00373410-4333395"       |9.392116666666666 |-43.560986111111106|"Sy2"    
"2MASS J00380530-4338004"       |9.52190464997     |-43.63355808258001 |"Sy2"    
"2MASS J00381407-4333148"       |9.559199583333333 |-43.554183333333334|"Sy1"    
"2MASS J00382997-4344545"       |9.624675828320003 |-43.74843254639    |"Sy1"    
"2MASS J00395064-4424188"       |9.96105836782     |-44.40527174891    |"AGN"    
"2MASS J00395410-4405101"       |9.975577525739999 |-44.08613768537    |"AGN"    
"2MASX J00302266-4236552"       |7.594433333333335 |-42.61533611111112 |"AGN"    
"2MASX J00305442-4300436"       |7.726689947870001 |-43.01219615534    |"Sy2"    
"2MASX J00324441-4233134"       |8.185085387529998 |-42.55376363389    |"LIN"    
"2MASX J00335735-4220452"       |8.48891911491     |-42.34576899284001 |"AGN"    
"2MASX J00362589-4411412"       |9.10793425464     |-44.19463835947    |"Sy2"    
"2MASX J00393817-4337565"       |9.90908385738     |-43.63237006104    |"Sy2"    
"2XMM J003312.3-431841"         |8.301666666666666 |-43.311388888888885|"AGN"    
"2XMM J003317.0-431705"         |8.320500000000001 |-43.28508333333333 |"AGN"    
"2XMM J003318.4-431025"         |8.327083333333334 |-43.17361111111111 |"AGN"    
"2XMM J003330.4-431552"         |8.376916666666666 |-43.26541666666666 |"AGN"    
"2XMM J003346.2-431944"         |8.44285486658     |-43.32883447190999 |"LIN"    
"2XMM J003429.2-432055"         |8.622083333333334 |-43.34930555555555 |"AGN"    
"2XMM J003441.9-431420"         |8.675541666666668 |-43.23927777777778 |"AGN"    
"2XMM J003454.7-434048"         |8.72844057794     |-43.68068442286    |"QSO"    
"2XMM J003503.8-432847"         |8.766250000000001 |-43.47972222222222 |"AGN"    
"2XMM J003529.1-433611"         |8.872083333333334 |-43.60305555555556 |"AGN"    
"2XMM J003544.8-433120"         |8.93698921653     |-43.52221261946    |"QSO"    
"2XMM J003548.3-431444"         |8.951845588260001 |-43.24568699919    |"QSO"    
