# Melissa Graham, gal_sds.ipynb 
# UTC = Tue, 12 Apr 2022 18:50:30 +0000 
# 
# Columns 
#  0 candidate id 
#  1 object id 
#  2 object ra 
#  3 object dec 
#  4 object MJD 
#  5 object filter 
#  6 object magnitude 
#  7 object magnitude error 
#  8 object real/bogus score 
# 
DC22gfeir 15876722  115.17387069302  -26.22079127191 59474.36167184 g 21.638  0.068  0.944 
DC22gfeir 15877449  115.17391877531  -26.22078286246 59474.36538152 g 21.575  0.061  0.940 
DC22gfeir 15878388  115.17387719803  -26.22080316508 59474.36910150 g 21.454  0.052  0.987 
DC22gfeir 15879402  115.17385110550  -26.22079702102 59474.37325640 g 21.558  0.057  0.920 
DC22gfeir 15880123  115.17389456960  -26.22081311333 59474.37698016 g 21.519  0.057  0.928 
DC22gfeir 15880473  115.17389487203  -26.22077830954 59475.35994816 g 21.681  0.122  0.852 
DC22gfeir 15881374  115.17385010437  -26.22079981046 59475.36139167 r 20.282  0.038  0.584 
DC22gfeir 15881614  115.17386991625  -26.22079976421 59475.36364814 g 21.527  0.091  0.919 
DC22gfeir 15884011  115.17384293631  -26.22082004921 59475.36668558 z 19.343  0.030  0.702 
DC22gfeir 15884177  115.17391131201  -26.22078065559 59475.36736583 g 21.576  0.084  0.774 
DC22gfeir 15885556  115.17389102241  -26.22081399993 59475.37147347 g 21.481  0.078  0.860 
DC22gfeir 15887672  115.17384418707  -26.22080013828 59475.37892136 g 21.570  0.084  0.965 
DC22gfeir 15888954  115.17385950040  -26.22081443591 59475.38193710 z 19.338  0.033  0.904 
DC22gfeir 15891068  115.17382571178  -26.22085088668 59477.36076877 i 19.693  0.043  0.880 
DC22gfeir 15892923  115.17385163008  -26.22083825620 59477.36144365 z 19.317  0.038  0.925 
DC22gfeir 15893322  115.17385683370  -26.22082009007 59477.36356597 r 20.221  0.052  0.781 
DC22gfeir 15893696  115.17383289472  -26.22084143980 59477.36448962 i 19.608  0.038  0.818 
DC22gfeir 15895357  115.17382160511  -26.22082426610 59477.36516096 z 19.269  0.035  0.863 
DC22gfeir 15896147  115.17385969174  -26.22080921900 59477.36730578 r 20.349  0.053  0.827 
DC22gfeir 15896333  115.17382500488  -26.22081821386 59477.36821270 i 19.654  0.038  0.819 
DC22gfeir 15897717  115.17383911651  -26.22079813316 59477.36889470 z 19.275  0.036  0.907 
DC22gfeir 15896546  115.17387410385  -26.22078505735 59477.37000817 g 21.428  0.127  0.910 
DC22gfeir 15898062  115.17385803106  -26.22081888190 59477.37146311 r 20.307  0.048  0.722 
DC22gfeir 15898316  115.17386862910  -26.22082144015 59477.37238155 i 19.690  0.037  0.750 
DC22gfeir 15898397  115.17384838035  -26.22081072451 59477.37307067 z 19.265  0.032  0.372 
DC22gfeir 15899283  115.17381466742  -26.22080897369 59477.37376704 g 21.482  0.123  0.907 
DC22gfeir 15899549  115.17385150657  -26.22082449001 59477.37521385 r 20.200  0.040  0.688 
DC22gfeir 15900426  115.17385207263  -26.22083101712 59477.37612214 i 19.692  0.036  0.639 
DC22gfeir 15900760  115.17385141159  -26.22083767147 59477.37679357 z 19.376  0.034  0.951 
DC22gfeir 15901080  115.17386011020  -26.22081891765 59477.37892452 r 20.253  0.043  0.628 
DC22gfeir 15901225  115.17384072278  -26.22082524995 59477.37982586 i 19.704  0.039  0.684 
DC22gfeir 15901602  115.17384727173  -26.22082135742 59477.38051663 z 19.379  0.034  0.963 
DC22gfeir 15901362  115.17389186274  -26.22076895088 59480.36045775 g 21.576  0.119  0.900 
