               id               |        ra        |        dec        |otype_txt
--------------------------------|------------------|-------------------|---------
"1FGL J0029.9-4221"             |7.57288638079     |-42.412911730729995|"QSO"    
"1FLE J0036-4236"               |7.57288638079     |-42.412911730729995|"QSO"    
"1Jy 0039-44"                   |10.5374           |-44.2335           |"Sy2"    
"1Jy 0039-445"                  |10.5374           |-44.2335           |"Sy2"    
"1RXS J003014.6-430323"         |7.5625598610499996|-43.059317953580006|"QSO"    
"1RXS J003515.9-433350"         |8.81502147972     |-43.56603188943    |"Sy1"    
"2FGL J0030.2-4223"             |7.57288638079     |-42.412911730729995|"QSO"    
"2MASS J00292428-4322315"       |7.351395507170001 |-43.375491808389995|"QSO"    
"2MASS J00292582-4349193"       |7.35760214991     |-43.82209536256    |"QSO"    
"2MASS J00293078-4327243"       |7.378257751770001 |-43.45678129843    |"QSO"    
"2MASS J00293389-4352406"       |7.391075489510001 |-43.87798593816    |"QSO"    
"2MASS J00295927-4348349"       |7.496754730750001 |-43.80981774606    |"QSO"    
"2MASS J00301748-4224464"       |7.57288638079     |-42.412911730729995|"QSO"    
"2MASS J00313360-4359057"       |7.889991002760003 |-43.9849022342     |"Sy2"    
"2MASS J00321312-4345532"       |8.054684932860003 |-43.76485800295    |"QSO"    
"2MASS J00325409-4246106"       |8.225490791779999 |-42.76954117456    |"AGN"    
"2MASS J00331645-4310004"       |8.31855281561     |-43.1667883886     |"LIN"    
"2MASS J00334880-4253570"       |8.453345833333334 |-42.89918055555555 |"Sy2"    
"2MASS J00344213-4413267"       |8.6755315806      |-44.22410217070001 |"Sy2"    
"2MASS J00344714-4252098"       |8.696303248369999 |-42.86942396108    |"LIN"    
"2MASS J00351562-4333576"       |8.81502147972     |-43.56603188943    |"Sy1"    
"2MASS J00352015-4336453"       |8.83386918426     |-43.61266867033    |"AGN"    
"2MASS J00372109-4342402"       |9.33777408918     |-43.71113664067    |"Sy2"    
"2MASS J00373410-4333395"       |9.392116666666666 |-43.560986111111106|"Sy2"    
"2MASS J00380530-4338004"       |9.52190464997     |-43.63355808258001 |"Sy2"    
"2MASS J00381407-4333148"       |9.559199583333333 |-43.554183333333334|"Sy1"    
"2MASS J00382997-4344545"       |9.624675828320003 |-43.74843254639    |"Sy1"    
"2MASS J00395064-4424188"       |9.96105836782     |-44.40527174891    |"AGN"    
"2MASS J00395410-4405101"       |9.975577525739999 |-44.08613768537    |"AGN"    
"2MASX J00302266-4236552"       |7.594433333333335 |-42.61533611111112 |"AGN"    
"2MASX J00305442-4300436"       |7.726689947870001 |-43.01219615534    |"Sy2"    
"2MASX J00324441-4233134"       |8.185085387529998 |-42.55376363389    |"LIN"    
"2MASX J00335735-4220452"       |8.48891911491     |-42.34576899284001 |"AGN"    
"2MASX J00373196-4408128"       |9.38317883516     |-44.13693282376    |"Sy2"    
"2MASX J00393817-4337565"       |9.90908385738     |-43.63237006104    |"Sy2"    
"2XMM J003312.3-431841"         |8.301666666666666 |-43.311388888888885|"AGN"    
"2XMM J003317.0-431705"         |8.320500000000001 |-43.28508333333333 |"AGN"    
"2XMM J003318.4-431025"         |8.327083333333334 |-43.17361111111111 |"AGN"    
"2XMM J003330.4-431552"         |8.376916666666666 |-43.26541666666666 |"AGN"    
"2XMM J003346.2-431944"         |8.44285486658     |-43.32883447190999 |"LIN"    
"2XMM J003408.7-431013"         |8.537240733720001 |-43.17011742443    |"QSO"    
"2XMM J003429.2-432055"         |8.622083333333334 |-43.34930555555555 |"AGN"    
"2XMM J003441.9-431420"         |8.675541666666668 |-43.23927777777778 |"AGN"    
"2XMM J003454.7-434048"         |8.72844057794     |-43.68068442286    |"QSO"    
"2XMM J003503.8-432847"         |8.766250000000001 |-43.47972222222222 |"AGN"    
"2XMM J003515.5-433357"         |8.81502147972     |-43.56603188943    |"Sy1"    
"2XMM J003529.1-433611"         |8.872083333333334 |-43.60305555555556 |"AGN"    
"2XMM J003544.8-433120"         |8.93698921653     |-43.52221261946    |"QSO"    
"2XMM J003548.3-431444"         |8.951845588260001 |-43.24568699919    |"QSO"    
"2XMM J003610.0-431638"         |9.042375          |-43.27758333333334 |"AGN"    
"2XMM J003614.6-434859"         |9.06125           |-43.81666666666666 |"AGN"    
"2dFGRS TGS890Z184"             |8.945833333333335 |-44.401666666666664|"Sy2"    
"2dFGRS TGS890Z215"             |8.6755315806      |-44.22410217070001 |"Sy2"    
"3FGL J0030.3-4223"             |7.57288638079     |-42.412911730729995|"QSO"    
"4FGL J0030.3-4224"             |7.57288638079     |-42.412911730729995|"QSO"    
"6dFGS gJ002802.4-424914"       |7.010166666666667 |-42.8205           |"AGN"    
"6dFGS gJ003732.0-440813"       |9.38317883516     |-44.13693282376    |"Sy2"    
"APMBGC 242-067-037"            |9.38317883516     |-44.13693282376    |"Sy2"    
"AT20G J003017-422446"          |7.57288638079     |-42.412911730729995|"QSO"    
"AT20G J004208-441359"          |10.5374           |-44.2335           |"Sy2"    
"ATELAIS J002927.69-431614.4"   |7.365458333333334 |-43.27061111111111 |"AGN"    
"ATELAIS J002959.40-434833.9"   |7.496754730750001 |-43.80981774606    |"QSO"    
"ATELAIS J003144.62-434834.8"   |7.935958333333334 |-43.809472222222226|"AGN"    
"ATELAIS J003154.90-433115.6"   |7.9790416666666655|-43.52112638888889 |"QSO"    
"ATELAIS J003211.09-433321.6"   |8.04622435208     |-43.55595237083    |"QSO"    
"ATELAIS J003316.43-431001.2"   |8.31855281561     |-43.1667883886     |"LIN"    
"ATELAIS J003320.68-433714.9"   |8.336166666666667 |-43.62130555555556 |"AGN"    
"ATELAIS J003325.78-434826.9"   |8.357065785990002 |-43.80729226615    |"AGN"    
"ATELAIS J003330.43-431555.7"   |8.376916666666666 |-43.26541666666666 |"AGN"    
"ATELAIS J003333.82-432328.4"   |8.390833333333333 |-43.39111111111111 |"AGN"    
"ATELAIS J003346.27-431944.2"   |8.44285486658     |-43.32883447190999 |"LIN"    
"ATELAIS J003347.49-433511.2"   |8.447708333333335 |-43.586444444444446|"AGN"    
"ATELAIS J003351.91-434219.6"   |8.466458333333334 |-43.7055           |"AGN"    
"ATELAIS J003407.52-431745.6"   |8.531708333333333 |-43.29572222222222 |"AGN"    
"ATELAIS J003411.41-431927.0"   |8.548750000000002 |-43.324444444444445|"AGN"    
"ATELAIS J003417.74-431929.8"   |8.574083333333334 |-43.324555555555555|"AGN"    
"ATELAIS J003419.56-430151.1"   |8.5815            |-43.03072222222222 |"AGN"    
"ATELAIS J003422.37-434319.3"   |8.593041666666666 |-43.72208333333334 |"AGN"    
"ATELAIS J003441.36-433042.9"   |8.67236398717     |-43.51139374203    |"AGN"    
"ATELAIS J003441.92-441327.2"   |8.6755315806      |-44.22410217070001 |"Sy2"    
"ATELAIS J003443.01-431727.2"   |8.678958333333332 |-43.29097222222222 |"AGN"    
"ATELAIS J003444.50-433747.9"   |8.685574603300001 |-43.63031629523    |"QSO"    
"ATELAIS J003447.18-432444.7"   |8.696458333333334 |-43.41277777777778 |"AGN"    
"ATELAIS J003515.56-433357.7"   |8.81502147972     |-43.56603188943    |"Sy1"    
"ATELAIS J003520.15-433645.7"   |8.83386918426     |-43.61266867033    |"AGN"    
"ATELAIS J003527.05-434347.5"   |8.862541666666667 |-43.72986111111111 |"AGN"    
"ATELAIS J003529.86-434329.1"   |8.874458333333335 |-43.72463888888888 |"AGN"    
"ATELAIS J003548.14-434608.7"   |8.950840141440002 |-43.76891435872    |"QSO"    
"ATELAIS J003551.01-430506.6"   |8.962708333333333 |-43.085055555555556|"Sy2"    
"ATELAIS J003622.71-432824.6"   |9.094416666666666 |-43.47408333333334 |"AGN"    
"ATELAIS J003626.18-441139.8"   |9.10901038998     |-44.194396656754435|"Sy2"    
"ATELAIS J003626.88-431907.1"   |9.112958333333331 |-43.31805555555556 |"AGN"    
"ATELAIS J003634.95-434100.9"   |9.145833333333332 |-43.68358333333333 |"AGN"    
"ATELAIS J003721.05-434240.8"   |9.33777408918     |-43.71113664067    |"Sy2"    
"ATELAIS J003732.03-440813.1"   |9.38317883516     |-44.13693282376    |"Sy2"    
"ATELAIS J003734.11-433339.1"   |9.392116666666666 |-43.560986111111106|"Sy2"    
"ATELAIS J003741.86-440226.7"   |9.424666666666667 |-44.04080555555556 |"LIN"    
"ATELAIS J003754.38-441105.4"   |9.477083333333335 |-44.18527777777778 |"AGN"    
"ATELAIS J003829.93-434454.0"   |9.624675828320003 |-43.74843254639    |"Sy1"    
"ATPMN J003017.5-422446"        |7.57288638079     |-42.412911730729995|"QSO"    
"CXO J003312.3-431842"          |8.301666666666666 |-43.311388888888885|"AGN"    
"CXO J003316.9-431706"          |8.320500000000001 |-43.28508333333333 |"AGN"    
"CXO J003330.4-431554"          |8.376916666666666 |-43.26541666666666 |"AGN"    
"CXO J003346.2-431943"          |8.44285486658     |-43.32883447190999 |"LIN"    
"CXO J003357.2-433602"          |8.489166666666668 |-43.60027777777778 |"AGN"    
"CXO J003425.2-433308"          |8.605416666666667 |-43.55222222222222 |"AGN"    
"CXO J003454.8-434050"          |8.72844057794     |-43.68068442286    |"QSO"    
"CXO J003504.0-432845"          |8.766250000000001 |-43.47972222222222 |"AGN"    
"CXO J003515.6-433357"          |8.81502147972     |-43.56603188943    |"Sy1"    
"CXO J003529.3-433611"          |8.872083333333334 |-43.60305555555556 |"AGN"    
"CXO J003544.8-433120"          |8.93698921653     |-43.52221261946    |"QSO"    
"CXO J003548.4-431444"          |8.951845588260001 |-43.24568699919    |"QSO"    
"Cul 0039-445"                  |10.5374           |-44.2335           |"Sy2"    
"DES J003548.18-434608.0"       |8.950840141440002 |-43.76891435872    |"QSO"    
"EIRS 18"                       |9.559199583333333 |-43.554183333333334|"Sy1"    
"EIRS 28"                       |8.1430832317      |-43.32720695245    |"QSO"    
"EIRS 29"                       |7.496754730750001 |-43.80981774606    |"QSO"    
"EIRS 4"                        |9.168333333333331 |-43.657222222222224|"QSO"    
"EIRS 5"                        |8.537240733720001 |-43.17011742443    |"QSO"    
"EIRS 57"                       |7.5625598610499996|-43.059317953580006|"QSO"    
"EIRS 59"                       |10.231868631900001|-44.2137591658     |"QSO"    
"EIRS 63"                       |7.35760214991     |-43.82209536256    |"QSO"    
"EIRS 64"                       |9.315199102169998 |-42.58729894545001 |"QSO"    
"EIRS 68"                       |9.624675828320003 |-43.74843254639    |"Sy1"    
"EIRS 69"                       |8.054684932860003 |-43.76485800295    |"QSO"    
"ELAISC15 J002848-430658"       |7.202083333333333 |-43.11638888888889 |"Sy1"    
"ELAISC15 J002904-425243"       |7.26850386054     |-42.87865326462    |"QSO"    
"ELAISC15 J002924-432233"       |7.351395507170001 |-43.375491808389995|"QSO"    
"ELAISC15 J002925-434917"       |7.35760214991     |-43.82209536256    |"QSO"    
"ELAISC15 J002930-432726"       |7.378257751770001 |-43.45678129843    |"QSO"    
"ELAISC15 J002933-435238"       |7.391075489510001 |-43.87798593816    |"QSO"    
"ELAISC15 J002949-430703"       |7.454166666666667 |-43.11666666666667 |"Sy2"    
"ELAISC15 J002959-434832"       |7.496754730750001 |-43.80981774606    |"QSO"    
"ELAISC15 J003014-430332"       |7.5625598610499996|-43.059317953580006|"QSO"    
"ELAISC15 J003015-430333"       |7.5625598610499996|-43.059317953580006|"QSO"    
"ELAISC15 J003022-423657"       |7.594433333333335 |-42.61533611111112 |"AGN"    
"ELAISC15 J003054-430044"       |7.726689947870001 |-43.01219615534    |"Sy2"    
"ELAISC15 J003114-424228"       |7.810416666666667 |-42.7075           |"Sy1"    
"ELAISC15 J003132-435009"       |7.882916666666666 |-43.835            |"LIN"    
"ELAISC15 J003133-435907"       |7.889991002760003 |-43.9849022342     |"Sy2"    
"ELAISC15 J003144-434834"       |7.935958333333334 |-43.809472222222226|"AGN"    
"ELAISC15 J003154-433117"       |7.9790416666666655|-43.52112638888889 |"QSO"    
"ELAISC15 J003212-424104"       |8.049166666666668 |-42.68416666666666 |"LIN"    
"ELAISC15 J003213-434553"       |8.054684932860003 |-43.76485800295    |"QSO"    
"ELAISC15 J003234-431940"       |8.1430832317      |-43.32720695245    |"QSO"    
"ELAISC15 J003244-423313"       |8.185085387529998 |-42.55376363389    |"LIN"    
"ELAISC15 J003253-443150"       |8.2205341614      |-44.53003212934999 |"QSO"    
"ELAISC15 J003254-424610"       |8.225490791779999 |-42.76954117456    |"AGN"    
"ELAISC15 J003301-440748"       |8.257217231379999 |-44.13083689885    |"QSO"    
"ELAISC15 J003316-430959"       |8.31855281561     |-43.1667883886     |"LIN"    
"ELAISC15 J003346-431942"       |8.44285486658     |-43.32883447190999 |"LIN"    
"ELAISC15 J003348-425354"       |8.453345833333334 |-42.89918055555555 |"Sy2"    
"ELAISC15 J003408-431011"       |8.537240733720001 |-43.17011742443    |"QSO"    
"ELAISC15 J003441-433041"       |8.67236398717     |-43.51139374203    |"AGN"    
"ELAISC15 J003441-441327"       |8.6755315806      |-44.22410217070001 |"Sy2"    
"ELAISC15 J003447-425207"       |8.696303248369999 |-42.86942396108    |"LIN"    
"ELAISC15 J003515-433355"       |8.81502147972     |-43.56603188943    |"Sy1"    
"ELAISC15 J003515-433356"       |8.81502147972     |-43.56603188943    |"Sy1"    
"ELAISC15 J003520-433645"       |8.83386918426     |-43.61266867033    |"AGN"    
"ELAISC15 J003546-442405"       |8.945833333333335 |-44.401666666666664|"Sy2"    
"ELAISC15 J003550-430505"       |8.962708333333333 |-43.085055555555556|"Sy2"    
"ELAISC15 J003603-433152"       |9.015             |-43.53111111111111 |"Sy2"    
"ELAISC15 J003622-432826"       |9.094416666666666 |-43.47408333333334 |"AGN"    
"ELAISC15 J003626-441140"       |9.10901038998     |-44.194396656754435|"Sy2"    
