            id             |        ra        |        dec        |otype_txt
---------------------------|------------------|-------------------|---------
"SWIRE J002802.45-424913.5"|7.010166666666667 |-42.8205           |"AGN"    
"SWIRE J002802.79-425957.0"|7.0116249999999996|-42.99916666666667 |"AGN"    
"SWIRE J002927.72-431614.4"|7.365458333333334 |-43.27061111111111 |"AGN"    
"SWIRE J002933.86-435240.4"|7.391075489510001 |-43.87798593816    |"QSO"    
"SWIRE J002959.22-434835.1"|7.496754730750001 |-43.80981774606    |"QSO"    
"SWIRE J003114.45-424227.7"|7.810416666666667 |-42.7075           |"Sy1"    
"SWIRE J003133.61-435905.6"|7.889991002760003 |-43.9849022342     |"Sy2"    
"SWIRE J003144.63-434834.1"|7.935958333333334 |-43.809472222222226|"AGN"    
"SWIRE J003151.28-425347.3"|7.963666666666665 |-42.89647222222222 |"AGN"    
"SWIRE J003213.14-434553.3"|8.054684932860003 |-43.76485800295    |"QSO"    
"SWIRE J003224.37-424211.0"|8.101541666666668 |-42.70305555555556 |"AGN"    
"SWIRE J003252.22-433617.7"|8.217541666666666 |-43.60497222222222 |"AGN"    
"SWIRE J003252.68-432610.2"|8.219458333333334 |-43.43622222222221 |"AGN"    
"SWIRE J003255.25-430948.3"|8.230416666666665 |-43.163333333333334|"AGN"    
"SWIRE J003258.33-431407.0"|8.243333333333332 |-43.235            |"AGN"    
"SWIRE J003258.79-433038.7"|8.245             |-43.510555555555555|"AGN"    
"SWIRE J003303.79-432848.3"|8.26575           |-43.480138888888895|"AGN"    
"SWIRE J003304.37-434920.8"|8.267916666666666 |-43.82222222222222 |"AGN"    
"SWIRE J003305.90-432052.4"|8.274583333333334 |-43.34777777777778 |"AGN"    
"SWIRE J003310.04-432106.4"|8.292083333333334 |-43.35138888888889 |"AGN"    
"SWIRE J003312.39-431841.9"|8.301666666666666 |-43.311388888888885|"AGN"    
"SWIRE J003313.37-433051.1"|8.305666666666667 |-43.51425000000001 |"AGN"    
"SWIRE J003313.68-432120.6"|8.306958333333334 |-43.35577777777778 |"AGN"    
"SWIRE J003314.37-431728.2"|8.309833333333335 |-43.29122222222222 |"AGN"    
"SWIRE J003314.61-432300.3"|8.310875000000001 |-43.38341666666667 |"AGN"    
"SWIRE J003314.77-433154.5"|8.311666666666667 |-43.53138888888889 |"AGN"    
"SWIRE J003315.33-433301.6"|8.314166666666667 |-43.55027777777777 |"AGN"    
"SWIRE J003316.44-431000.3"|8.31855281561     |-43.1667883886     |"LIN"    
"SWIRE J003316.83-432709.3"|8.320208333333333 |-43.45319444444445 |"AGN"    
"SWIRE J003316.92-431706.3"|8.320500000000001 |-43.28508333333333 |"AGN"    
"SWIRE J003318.33-434301.0"|8.326333333333332 |-43.717            |"AGN"    
"SWIRE J003318.43-433818.6"|8.32675           |-43.63852777777777 |"AGN"    
