# fnm 	 exptime
c4d_210917_020357_ori	50.0
c4d_210319_023704_ori	130.0
c4d_210328_020032_ori	30.0
c4d_210403_004640_ori	130.0
c4d_210406_003629_ori	130.0
c4d_210917_042517_ori	50.0
c4d_210409_022627_ori	130.0
c4d_210412_000654_ori	130.0
c4d_210412_021438_ori	130.0
c4d_210415_025311_ori	130.0
c4d_210425_012519_ori	130.0
c4d_210425_031454_ori	130.0
c4d_210917_031659_ori	86.0
c4d_210427_012454_ori	130.0
c4d_210429_000658_ori	130.0
c4d_210502_235127_ori	130.0
c4d_210503_003031_ori	130.0
c4d_210503_005449_ori	130.0
c4d_210503_024036_ori	130.0
c4d_210503_024638_ori	130.0
c4d_210506_002202_ori	130.0
c4d_210506_015324_ori	130.0
c4d_210506_020530_ori	130.0
c4d_210506_024608_ori	130.0
c4d_210509_002816_ori	130.0
c4d_210509_004624_ori	130.0
c4d_210509_013205_ori	130.0
c4d_210512_015219_ori	130.0
c4d_210514_235602_ori	130.0
c4d_210515_000811_ori	130.0
c4d_210515_013516_ori	130.0
c4d_210918_065342_ori	240.0
c4d_210524_002331_ori	90.0
c4d_210611_001401_ori	90.0
c4d_210611_001600_ori	90.0
c4d_210920_025916_ori	86.0
c4d_210920_014512_ori	50.0
c4d_210920_045005_ori	50.0
c4d_210920_070351_ori	50.0
c4d_210921_073613_ori	50.0
c4d_210923_032836_ori	60.0
c4d_210923_035621_ori	50.0
c4d_210923_053730_ori	50.0
c4d_210923_083404_ori	50.0
c4d_210926_054721_ori	50.0
c4d_210926_084950_ori	50.0
c4d_210917_075728_ori	15.0
c4d_210920_070549_ori	15.0
c4d_210923_014315_ori	25.0
c4d_210917_020518_ori	50.0
c4d_210319_024310_ori	130.0
c4d_210610_235913_ori	70.0
c4d_210328_020458_ori	30.0
c4d_210403_005242_ori	130.0
c4d_210917_042637_ori	50.0
c4d_210409_002754_ori	130.0
c4d_210409_023230_ori	130.0
c4d_210412_001259_ori	130.0
c4d_210412_022040_ori	130.0
c4d_210415_025913_ori	130.0
c4d_210918_065811_ori	240.0
c4d_210427_011852_ori	130.0
c4d_210427_013056_ori	130.0
c4d_210429_004813_ori	130.0
c4d_210502_235737_ori	130.0
c4d_210503_003635_ori	130.0
c4d_210428_235450_ori	130.0
c4d_210503_024917_ori	60.0
c4d_210506_002803_ori	130.0
c4d_210506_015926_ori	130.0
c4d_210506_021129_ori	130.0
c4d_210506_025210_ori	130.0
c4d_210509_003418_ori	130.0
c4d_210509_005312_ori	130.0
c4d_210509_013807_ori	130.0
c4d_210512_015824_ori	130.0
c4d_210515_000204_ori	130.0
c4d_210515_001413_ori	130.0
c4d_210515_014724_ori	130.0
c4d_210605_000011_ori	90.0
c4d_210607_230846_ori	90.0
c4d_210920_030110_ori	130.0
c4d_210920_015203_ori	50.0
c4d_210920_045124_ori	50.0
c4d_210920_070850_ori	50.0
c4d_210921_073731_ori	50.0
c4d_210923_033004_ori	86.0
c4d_210923_035740_ori	50.0
c4d_210923_053849_ori	50.0
c4d_210924_081731_ori	50.0
c4d_210926_054840_ori	50.0
c4d_210926_085110_ori	50.0
c4d_210917_075812_ori	15.0
c4d_210920_070631_ori	15.0
c4d_210923_014408_ori	25.0
c4d_210923_073359_ori	15.0
c4d_210925_043131_ori	15.0
c4d_210926_064305_ori	15.0
c4d_210917_020640_ori	50.0
