            id             |       ra        |        dec        |otype_txt
---------------------------|-----------------|-------------------|---------
"ESIS 100218"              |8.455833333333334|-43.38527777777778 |"AGN"    
"ESIS 100902"              |8.356250000000001|-43.369166666666665|"AGN"    
"ESIS 101473"              |8.473333333333333|-43.35777777777778 |"AGN"    
"ESIS 101628"              |8.292083333333334|-43.35138888888889 |"AGN"    
"ESIS 101656"              |8.462083333333332|-43.352222222222224|"AGN"    
"ESIS 101824"              |8.274583333333334|-43.34777777777778 |"AGN"    
"ESIS 102351"              |8.38375          |-43.33555555555556 |"AGN"    
"ESIS 102712"              |8.1430832317     |-43.32720695245    |"QSO"    
"ESIS 102841"              |8.44285486658    |-43.32883447190999 |"LIN"    
"ESIS 103244"              |8.269583333333333|-43.315            |"AGN"    
"ESIS 103422"              |8.301666666666666|-43.311388888888885|"AGN"    
"ESIS 103539"              |8.555416666666666|-43.31305555555555 |"AGN"    
"ESIS 104675"              |8.320500000000001|-43.28508333333333 |"AGN"    
"ESIS 104759"              |8.350416666666668|-43.28388888888889 |"AGN"    
"ESIS 104933"              |8.23625          |-43.27777777777778 |"AGN"    
"ESIS 105593"              |8.376916666666666|-43.26541666666666 |"AGN"    
"ESIS 106003"              |8.553333000000002|-43.25856          |"QSO"    
"ESIS 106482"              |8.265416666666669|-43.24305555555556 |"AGN"    
"ESIS 106835"              |8.243333333333332|-43.235            |"AGN"    
"ESIS 107874"              |8.39125          |-43.21361111111111 |"AGN"    
"ESIS 108574"              |8.337166666666667|-43.196999999999996|"AGN"    
"ESIS 109086"              |8.442916666666667|-43.18583333333333 |"AGN"    
"ESIS 109567"              |8.327083333333334|-43.17361111111111 |"AGN"    
"ESIS 109973"              |8.230166         |-43.16344          |"QSO"    
"ESIS 111651"              |8.529874999999999|-43.130638888888896|"AGN"    
"ESIS 120627"              |8.248333333333333|-43.88916666666667 |"AGN"    
"ESIS 121330"              |8.51833333333333 |-43.86694444444444 |"AGN"    
"ESIS 121484"              |8.336250000000001|-43.859722222222224|"AGN"    
"ESIS 121602"              |8.3775           |-43.8575           |"AGN"    
"ESIS 121702"              |8.543333333333333|-43.85472222222222 |"AGN"    
"ESIS 122646"              |8.267916666666666|-43.82222222222222 |"AGN"    
