         id    agn_type  
   DC21bckq   "QSO"      
  DC21bcmhv   "QSO"      
   DC21bcrs   "QSO"      
   DC21bdkw   "QSO"      
   DC21bdxz   "QSO"      
    DC21bea   "QSO"      
    DC21ber   "QSO"      
     DC21bg   "AGN"      
   DC21bhox   "AGN"      
    DC21bhq   "QSO"      
   DC21bicq   "AGN"      
   DC21bjvj   "QSO"      
   DC21bkvs   "QSO"      
   DC21bkzg   "AGN"      
   DC21blhk   "QSO"      
   DC21blkp   "QSO"      
    DC21bln   "QSO"      
   DC21blyw   "QSO"      
   DC21bmob   "QSO"      
   DC21bqua   "AGN"      
   DC21brjo   "AGN"      
   DC21bsih   "Sy1"      
   DC21bsqz   "AGN"      
  DC21bvzre   "QSO"      
  DC21bvzyo   "QSO"      
  DC21bwahq   "QSO"      
  DC21bwajh   "QSO"      
  DC21bwbez   "AGN"      
  DC21bwcke   "Sy1"      
  DC21bwcrp   "QSO"      
  DC21bwcsm   "QSO"      
  DC21bwdzy   "QSO"      
  DC21bwegs   "QSO"      
  DC21bwhls   "QSO"      
  DC21bwirx   "QSO"      
  DC21bwlwb   "AGN"      
  DC21bxioj   "QSO"      
  DC21bxwai   "QSO"      
     DC21by   "QSO"      
  DC21byfsv   "QSO"      
  DC21byfun   "AGN"      
  DC21byydg   "QSO"      
  DC21bznyq   "QSO"      
  DC21cagqk   "AGN"      
  DC21cavws   "QSO"      
  DC21cbomy   "AGN"      
  DC21cgetl   "QSO"      
  DC21cgetq   "QSO"      
  DC21cgfio   "Sy1"      
  DC21cgfli   "QSO"      
    DC21cgk   "QSO"      
    DC21chy   "AGN"      
  DC21cpbtv   "AGN"      
  DC21cpcls   "AGN"      
  DC21cpcpr   "QSO"      
    DC21cpt   "Sy1"      
   DC21csoi   "AGN"      
  DC21ctkya   "AGN"      
  DC21ctlpj   "AGN"      
  DC21ctmcu   "QSO"      
  DC21ctmph   "AGN"      
  DC21cttix   "QSO"      
  DC21ctwhp   "QSO"      
  DC21cvnnj   "AGN"      
  DC21cvnsj   "AGN"      
  DC21cvqkn   "QSO"      
  DC21cvtpt   "QSO"      
  DC21cwsvw   "QSO"      
  DC21cwubi   "QSO"      
  DC21cwvox   "QSO"      
    DC21cwx   "QSO"      
  DC21cxiih   "QSO"      
  DC21cydkd   "QSO"      
  DC21cyefc   "AGN"      
  DC21daphg   "QSO"      
  DC21dasyl   "QSO"      
  DC21daxch   "QSO"      
  DC21dbtwg   "AGN"      
  DC21dbuif   "QSO"      
  DC21dcabq   "QSO"      
  DC21dcbcz   "QSO"      
    DC21dfa   "QSO"      
  DC21dgmwx   "AGN"      
   DC21dhmn   "AGN"      
  DC21djgzo   "QSO"      
  DC21djxnv   "QSO"      
  DC21dkhxs   "QSO"      
  DC21dlrct   "QSO"      
   DC21dolk   "QSO"      
   DC21dprk   "QSO"      
    DC21dqf   "AGN"      
  DC21drgyn   "QSO"      
   DC21dsij   "QSO"      
   DC21dtjb   "QSO"      
   DC21dtxp   "AGN"      
