57537.397 19.486  0.071 g P48
57540.404 19.615  0.032 g P60
57541.428 19.592  0.031 g P60
57544.370 19.464  0.081 g P48
57547.399 19.724  0.027 g P60
57548.385 19.626  0.085 g P48
57548.510 20.119  0.137 gp LCO
57552.373 19.673  0.103 g P48
57554.378 19.959  0.042 g P60
57555.590 20.579  0.157 gp LCO
57558.469 20.192  0.127 g P60
57565.219 20.165  0.076 g P60
57566.220 20.284  0.027 g P60
57574.502 20.918  0.108 gp LCO
57581.465 20.931  0.122 gp LCO
57583.261 20.611  0.053 g P60
57585.194 20.749  0.070 g P60
57587.193 20.699  0.105 g P60
57587.472 20.612  0.274 gp LCO
57593.234 20.736  0.048 g P60
57595.182 20.771  0.048 g P60
57595.453 21.310  0.278 gp LCO
57597.239 20.883  0.056 g P60
57599.197 20.875  0.046 g P60
57601.183 20.947  0.081 g P60
57605.213 21.041  0.048 g P60
57607.176 20.995  0.052 g P60
57609.177 21.011  0.057 g P60
57611.196 21.079  0.067 g P60
57613.173 21.038  0.100 g P60
57614.180 21.261  0.141 g P60
57615.168 21.221  0.177 g P60
57616.166 21.111  0.113 g P60
57617.169 20.903  0.181 g P60
57618.150 21.329  0.191 g P60
57619.156 20.976  0.143 g P60
57621.150 21.160  0.120 g P60
57625.158 21.203  0.049 g P60
57631.152 21.218  0.071 g P60
57633.166 21.297  0.063 g P60
57635.135 21.356  0.138 g P60
57639.227 21.413  0.093 g P60
57646.190 21.328  0.330 g P60
57656.182 21.536  0.277 g P60
57540.397 20.045  0.033 r P60
57541.421 19.972  0.054 r P60
57547.392 20.090  0.029 r P60
57548.514 19.999  0.391 rp LCO
57551.451 20.162  0.030 r P60
57554.368 20.235  0.074 r P60
57558.459 20.404  0.106 r P60
57559.483 20.401  0.260 r P60
57565.198 20.527  0.127 r P60
57566.205 20.661  0.029 r P60
57569.229 20.711  0.040 r P60
57574.512 20.543  0.283 rp LCO
57581.474 20.671  0.297 rp LCO
57583.255 21.020  0.087 r P60
57585.188 21.149  0.113 r P60
57587.188 21.025  0.144 r P60
57587.480 20.580  0.339 rp LCO
57593.228 21.063  0.068 r P60
57595.176 21.241  0.102 r P60
57595.462 20.603  0.342 rp LCO
57597.234 21.213  0.100 r P60
57599.191 21.086  0.077 r P60
57605.207 21.280  0.069 r P60
57607.170 21.380  0.105 r P60
57609.171 21.317  0.124 r P60
57611.191 21.267  0.108 r P60
57613.167 21.377  0.150 r P60
57614.175 21.320  0.171 r P60
57616.161 21.284  0.212 r P60
57617.163 21.155  0.244 r P60
57621.144 21.398  0.170 r P60
57625.153 21.358  0.107 r P60
57629.148 21.478  0.091 r P60
57631.146 21.474  0.160 r P60
57633.161 21.464  0.113 r P60
57637.139 21.650  0.226 r P60
57639.222 21.634  0.180 r P60
57640.182 21.489  0.096 r P60
57646.151 21.640  0.356 r P60
57656.140 21.896  0.527 r P60
57540.401 19.901  0.045 i P60
57541.424 19.827  0.050 i P60
57547.395 19.891  0.054 i P60
57548.527 20.046  0.378 ip LCO
57551.456 20.041  0.052 i P60
57554.373 20.063  0.118 i P60
57555.599 19.796  0.357 ip LCO
57558.464 20.171  0.143 i P60
57565.202 20.408  0.356 i P60
57574.519 20.586  0.311 ip LCO
57581.482 20.642  0.326 ip LCO
57583.258 20.633  0.127 i P60
57585.191 20.615  0.093 i P60
57587.191 20.881  0.144 i P60
57587.489 20.537  0.462 ip LCO
57593.231 20.829  0.082 i P60
57595.179 20.879  0.143 i P60
57595.470 20.747  0.408 ip LCO
57597.237 20.769  0.101 i P60
57599.194 21.000  0.101 i P60
57605.210 21.116  0.089 i P60
57607.173 20.975  0.125 i P60
57609.174 21.109  0.114 i P60
57611.194 21.012  0.223 i P60
57613.170 20.974  0.163 i P60
57616.163 21.030  0.189 i P60
57617.166 21.165  0.286 i P60
57625.156 21.086  0.125 i P60
57631.149 21.146  0.141 i P60
57633.164 21.111  0.155 i P60
57639.224 21.417  0.244 i P60
57646.171 21.199  0.256 i P60
57656.163 21.213  0.276 i P60
