Title: Clues To The Nature of SN2009IP from Photometric and Spectroscopic 
       Evolution to Late Times 
Authors: Graham M.L., Sand D.J., Valenti S., Howell D.A., Parrent J., 
         Halford M., Zaritsky D., Bianco F., Rest A., Dilday B. 
Table: LCOGT photometry for the 2012-B event of SN 2009ip
================================================================================
Byte-by-byte Description of file: apj494961t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  4 I4     yr      Obs.Y    Year of the observation
   6-  7 I2     month   Obs.M    Month of the observation
   9- 10 I2     d       Obs.D    Day of the observation
  12- 16 F5.2   mag     FTSgmag  ? LCOGT 2m Faulkes Telescope g band magnitude
  18- 21 F4.2   mag   e_FTSgmag  ? Uncertainty in FTSgmag 
  23- 27 F5.2   mag     FTSrmag  ? LCOGT 2m Faulkes Telescope r band magnitude
  29- 32 F4.2   mag   e_FTSrmag  ? Uncertainty in FTSrmag 
  34- 38 F5.2   mag     FTSimag  ? LCOGT 2m Faulkes Telescope i band magnitude
  40- 43 F4.2   mag   e_FTSimag  ? Uncertainty in FTSimag 
  45- 49 F5.2   mag     1mgmag   ? LCOGT 1m g band magnitude 
  51- 54 F4.2   mag   e_1mgmag   ? Uncertainty in 1mgmag 
  56- 60 F5.2   mag     1mrmag   ? LCOGT 1m g band magnitude
  62- 65 F4.2   mag   e_1mrmag   ? Uncertainty in 1mrmag 
  67- 71 F5.2   mag     1mimag   ? LCOGT 1m g band magnitude
  73- 76 F4.2   mag   e_1mimag   ? Uncertainty in 1mimag 
  78- 82 F5.2   mag     1mzmag   ? LCOGT 1m z-short band magnitude
  84- 87 F4.2   mag   e_1mzmag   ? Uncertainty in 1mzmag
  89- 93 F5.2   mag     1mUmag   ? LCOGT 1m U band magnitude
  95- 98 F4.2   mag   e_1mUmag   ? Uncertainty in 1mUmag 
 100-104 F5.2   mag     1mBmag   ? LCOGT 1m B band magnitude
 106-109 F4.2   mag   e_1mBmag   ? Uncertainty in 1mBmag 
 111-115 F5.2   mag     1mVmag   ? LCOGT 1m V band magnitude
 117-120 F4.2   mag   e_1mVmag   ? Uncertainty in 1mVmag
 122-126 F5.2   mag     1mRmag   ? LCOGT 1m R band magnitude
 128-131 F4.2   mag   e_1mRmag   ? Uncertainty in 1mRmag 
 133-137 F5.2   mag     1mImag   ? LCOGT 1m I band magnitude
 139-142 F4.2   mag   e_1mImag   ? Uncertainty in 1mImag
--------------------------------------------------------------------------------
2012 09 22 17.91 0.10 17.56 0.09 17.88 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 09 23 17.91 0.07 17.56 0.06 17.89 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 09 24 17.10 0.08 16.86 0.07 17.11 0.02 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 09 25 99.99 9.99 15.22 0.03 15.46 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 09 26 99.99 9.99 14.59 0.10 14.83 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 09 27 99.99 9.99 14.35 0.25 14.61 0.04 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 09 30 13.89 0.16 14.01 0.15 14.29 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 02 13.82 0.10 13.91 0.09 14.19 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 03 13.73 0.05 13.86 0.02 14.13 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 04 13.65 0.06 13.79 0.05 14.05 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 05 99.99 9.99 99.99 9.99 14.04 0.05 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 06 13.60 0.02 13.72 0.02 14.00 0.01 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
