tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",60031.225590299815,"2277225590815015001",1,2277225590815,20.281466,1,2277,2.7151554,18.263079,"","",18.2381,"",0.063748464,"","",0.062,"",150.7444145,2.3434116,0.96428573,"t17_f5_c3",1,18.2049,0.0755,468120108,true,false,false,"","1.1.6",0,""
"ztf",60031.260231500026,"2277260230815015004",2,2277260230815,20.136795,1,2277,1.3650475,18.086456,17.259253,"",18.0815,"",0.0644714,100,0.030094383,0.0677,"",150.744389,2.3433976,0.94857144,"t17_f5_c3",1,18.186,0.0931,468120208,true,true,false,"","1.1.6",0,""
"ztf",60042.2994328998,"2288299430815015002",2,2288299430815,19.049374,1,2288,1.4177579,17.599047,"","",17.8035,"",0.069172315,"","",0.1328,"",150.7444112,2.3434279,0.9342857,"t17_f5_c3",1,17.9665,0.197,468120208,true,false,true,"","1.1.6",0,""
"ztf",60044.20615739981,"2290206150815015005",2,2290206150815,20.437712,1,2290,1.4223412,17.647251,"","",17.6673,"",0.045479927,"","",0.0401,"",150.7444073,2.3434029,0.95428574,"t17_f5_c3",0.9999999,17.6662,0.0492,468120208,true,false,true,"","1.1.6",0,""
"ztf",60046.15878470009,"2292158780815015001",2,2292158780815,20.531574,1,2292,1.4029046,17.744986,"","",17.9193,"",0.045343705,"","",0.0516,"",150.7444045,2.3434179,0.94142854,"t17_f5_c3",0.9997176,17.9316,0.0642,468120208,true,false,true,"","1.1.6",0,""
"ztf",60046.19035879988,"2292190350815015003",1,2292190350815,20.631313,1,2292,2.6750808,17.998056,"","",17.9895,"",0.072230056,"","",0.0387,"",150.7444032,2.3434108,0.9128571,"t17_f5_c3",0.99999774,17.9982,0.0479,468120108,true,false,false,"","1.1.6",0,""
"ztf",60050.171481499914,"2296171480815015003",1,2296171480815,20.553303,1,2296,2.6780262,18.351751,"","",18.3697,"",0.051637482,"","",0.0601,"",150.7444034,2.3434072,0.96,"t17_f5_c3",0.9999999,18.4018,0.0769,468120108,true,false,false,"","1.1.6",0,""
"ztf",60052.23218750022,"2298232180815015001",1,2298232180815,20.691608,1,2298,2.6833615,18.531916,"","",18.6332,"",0.061928406,"","",0.0684,"",150.7444051,2.343409,0.9628571,"t17_f5_c3",1,18.5104,0.0757,468120108,true,false,false,"","1.1.6",0,""
"ztf",60052.29133100016,"2298291330815015002",2,2298291330815,20.142635,1,2298,1.4478436,18.2113,"","",18.3979,"",0.059930213,"","",0.0817,"",150.7444132,2.3433986,0.95,"t17_f5_c3",1,18.45,0.1064,468120208,true,false,true,"","1.1.6",0,""
"ztf",60054.171122699976,"2300171120815015004",1,2300171120815,20.30834,1,2300,2.6708298,18.756985,"","",18.8346,"",0.075149395,"","",0.0938,"",150.7444024,2.3434163,0.95285714,"t17_f5_c3",1,18.805,0.1144,468120108,true,false,false,"","1.1.6",0,""
