"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"146373","SN 2024cvb","10:12:48.039","-02:41:21.83","SN Ia","","","","","","","","0.038","","","GOTO, Pan-STARRS","GOTO, Pan-STARRS","LiONS","GOTO; Pan-STARRS","GOTO24rw","GOTO-N - GOTO-2, PS1 - GPC1","Lijiang-2.4m - YFOSC","1","1","","18.69","L-GOTO","2024-02-16 00:28:48.000","GOTO_bot","","2024TNSTR.472....1R","2024TNSCR.486....1L",""
"144963","SN 2024aul","10:21:53.237","+00:17:44.16","SN II","","","","","","","","0.0215","SDSS J102153.20+001743.3","0.02148222","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF24aadkwni","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","LT - SPRAT","1","1","","17.6095","g-ZTF","2024-01-26 10:10:51.001","ALeRCE","","2024TNSTR.257....1M","2024TNSCR.543....1W",""
"144834","SN 2024apt","10:25:36.878","-02:12:39.29","SN Ia","","","","","","","","0.018503","","","ATLAS, GOTO, ZTF, Pan-STARRS, MASTER","ATLAS, GOTO, ZTF, Pan-STARRS, MASTER","ZTF","ATLAS; GOTO; MASTER; Pan-STARRS; ZTF","ATLAS24bgm","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.278","orange-ATLAS","2024-01-22 05:47:31.776","ATLAS_Bot1","","2024TNSTR.225....1T","2024TNSCR.298....1S",""
"143872","SN 2024iy","09:59:19.932","-03:21:16.91","SN Ia","","","","","","","","0.068","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF24aaahxph","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.36","g-ZTF","2024-01-05 09:50:24.000","ZTF_Bot1","","2024TNSTR..41....1F","2024TNSCR.148....1G",""
"143085","SN 2023abqf","09:46:20.130","+03:04:16.46","SN Ia","","","","","","","","0.02","","","ATLAS, Pan-STARRS, ZTF, GaiaAlerts","ATLAS, Pan-STARRS, ZTF, GaiaAlerts","OxQUB","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS23xws","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","18.236","orange-ATLAS","2023-12-26 11:48:46.944","ATLAS_Bot1","","2023TNSTR3365....1T","2024TNSCR..35....1S",""
"142333","SN 2023aann","10:28:43.000","-04:21:53.46","SN Ia","","","","","","","","0.07","","","Pan-STARRS, ATLAS, ZTF, GaiaAlerts","Pan-STARRS, ATLAS, ZTF, GaiaAlerts","TCD","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","PS23mau","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC","1","1","","20.4","w-P1","2023-12-18 14:54:02.304","PS1_Bot1","","2023TNSTR3320....1C","2024TNSCR.141....1T",""
"141975","SN 2023aaaa","10:02:36.565","+10:51:50.53","SN Ia","","","","","","","","0.079","","","Pan-STARRS, ALeRCE","Pan-STARRS, ZTF","ePESSTO+","ALeRCE; Pan-STARRS","PS23luq","P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.5","w-P1","2023-12-13 13:10:35.328","PS1_Bot1","","2023TNSTR3243....1C","2023TNSCR3269....1B",""
"141887","SN 2023zwx","09:35:11.190","+01:20:59.50","SN Ia-91T-like","","","","","","","","0.062","","","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF23abtttrl","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","20.38","g-ZTF","2023-12-09 10:09:07.200","ZTF_Bot1","","2023TNSTR3230....1F","2023TNSCR3299....1P",""
"141433","SN 2023zfs","10:34:14.011","+05:47:45.80","SN Ia","","","","","","","","0.083825","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23absdvtp","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.76","r-ZTF","2023-12-09 09:37:26.400","ZTF_Bot1","","2023TNSTR3177....1F","2023TNSCR3326....1J",""
"141305","SN 2023zax","09:45:34.910","+07:10:20.28","SN Ia","","","","","","","","0.051","","","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS23wur","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","17.665","orange-ATLAS","2023-12-06 13:43:28.704","ATLAS_Bot1","","2023TNSTR3151....1T","2023TNSCR3180....1F",""
"140916","SN 2023ylz","10:06:20.930","-06:15:22.25","SN IIP","","","","","","","","0.0188","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS23whu","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.429","orange-ATLAS","2023-11-24 07:44:59.424","ATLAS_Bot1","","2023TNSTR3071....1T","2024TNSCR..29....1K",""
"139627","SN 2023wqf","09:28:49.250","-03:30:46.40","SN Ia","","","","","","","","0.0543","LEDA 1070244","0.05415","ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","DEbass","ALeRCE; ATLAS; GaiaAlerts","ZTF23aboicxj","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, P48 - ZTF-Cam","ANU-2.3m - WiFeS","1","1","","18.7759","g-ZTF","2023-11-02 11:27:45.996","ALeRCE","","2023TNSTR2831....1F","2023TNSCR2929....1L",""
