"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"139243","SN 2023wbx","23:59:25.310","-41:26:03.37","SN Ia-91T-like","","","","","","","","0.06","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts","ATLAS23utg","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.938","orange-ATLAS","2023-10-29 21:18:08.640","ATLAS_Bot1","","2023TNSTR2767....1T","2023TNSCR2785....1H",""
"136925","SN 2023tfc","00:36:02.874","-42:59:50.41","SN Ia","","","","","","","","0.0533","","","ATLAS","ATLAS","DEbass","ATLAS","ATLAS23suo","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ANU-2.3m - WiFeS","1","1","","19.247","cyan-ATLAS","2023-09-17 22:01:14.592","ATLAS_Bot1","","2023TNSTR2330....1T","2023TNSCR2397....1L",""
"136420","SN 2023slz","23:55:53.793","-34:33:14.67","SN Ia-91T-like","","","","","","","","0.06","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23snh","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","17.347","cyan-ATLAS","2023-09-13 23:18:05.760","ATLAS_Bot1","","2023TNSTR2259....1T","2023TNSCR2299....1B",""
"132370","SN 2023mti","00:06:03.978","-35:42:39.86","SN IIb","","","","","","","","0.051","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23nur","ATLAS-CHL - ATLAS-04","UH88 - SNIFS","1","1","","18.506","orange-ATLAS","2023-07-11 08:01:51.168","ATLAS_Bot1","","2023TNSTR1627....1T","2023TNSCR1646....1P",""
"120736","SN 2022abio","23:46:31.942","-52:32:15.49","SN Ia-pec","","","","","","","","0.063","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bmqo","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.56","cyan-ATLAS","2022-11-22 19:31:46.272","ATLAS_Bot1","","2022TNSTR3410....1T","2022TNSCR3529....1G",""
"117278","SN 2022wjr","00:39:04.821","-38:51:41.34","SN Ia","","","","","","","","0.064","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bhmd","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","18.888","orange-ATLAS","2022-09-26 05:33:46.656","ATLAS_Bot1","","2022TNSTR2832....1T","2022TNSCR2886....1D",""
"117033","SN 2022wam","23:31:08.771","-40:38:58.37","SN Ia","","","","","","","","0.089","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bgha","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","19.308","orange-ATLAS","2022-09-19 05:15:32.832","ATLAS_Bot1","","2022TNSTR2794....1T","2022TNSCR2863....1D",""
"115753","SN 2022uew","00:00:53.221","-49:18:57.29","SN Ia","","","","","","","","0.07","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22beum","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.525","orange-ATLAS","2022-09-15 22:10:00.768","ATLAS_Bot1","","2022TNSTR2667....1T","2022TNSCR2743....1G",""
"114169","SN 2022rwq","23:56:31.204","-37:33:59.52","SN Ia","","","","","","","","0.071","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bavc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","19.241","orange-ATLAS","2022-08-18 07:46:18.048","ATLAS_Bot1","","2022TNSTR2413....1T","2022TNSCR2476....1G",""
"114128","SN 2022rvd","00:39:04.004","-41:13:52.11","SN II","","","","","","","","0.048","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22baru","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","19.037","cyan-ATLAS","2022-08-21 04:16:08.832","ATLAS_Bot1","","2022TNSTR2413....1T","2022TNSCR2660....1T",""
