time,mjd,band,mag
0.4745,57983.0031,u,18.433
0.4752,57983.0037,u,18.432
0.6387,57983.1672,u,18.304
0.9809,57983.5094,u,18.549
1.043,57983.5715,u,18.623
1.4206,57983.9491,u,19.14
1.4478,57983.9764,u,19.181
1.4485,57983.977,u,19.182
1.4492,57983.9777,u,19.183
1.4499,57983.9784,u,19.184
1.4506,57983.9791,u,19.185
1.4512,57983.9798,u,19.186
1.4717,57984.0002,u,19.216
2.3667,57984.8952,u,20.758
2.4392,57984.9678,u,20.906
2.4461,57984.9747,u,20.921
2.4472,57984.9757,u,20.923
2.4479,57984.9764,u,20.924
2.4486,57984.9771,u,20.926
2.4492,57984.9778,u,20.927
2.4515,57984.98,u,20.932
3.3127,57985.8413,u,22.885
3.4541,57985.9826,u,23.18
3.4551,57985.9836,u,23.182
3.4556,57985.9841,u,23.183
3.4558,57985.9843,u,23.183
3.4564,57985.985,u,23.185
3.4571,57985.9856,u,23.186
4.2588,57986.7873,u,24.298
4.4449,57986.9734,u,24.375
4.4467,57986.9752,u,24.376
4.4491,57986.9777,u,24.377
4.4516,57986.9801,u,24.378
4.4552,57986.9837,u,24.379
4.4624,57986.9909,u,24.382
5.2049,57987.7334,u,24.684
5.446,57987.9745,u,24.78
5.4484,57987.977,u,24.781
5.4508,57987.9794,u,24.782
5.4545,57987.983,u,24.783
6.1509,57988.6795,u,25.05
6.4458,57988.9743,u,25.159
7.097,57989.6255,u,25.391
7.4376,57989.9661,u,25.508
7.4448,57989.9734,u,25.51
7.4509,57989.9794,u,25.512
7.4533,57989.9818,u,25.513
7.4581,57989.9866,u,25.515
8.0431,57990.5716,u,25.708
8.4446,57990.9732,u,25.835
8.4543,57990.9828,u,25.838
8.4591,57990.9877,u,25.84
8.4688,57990.9973,u,25.843
8.9891,57991.5176,u,26.002
9.4457,57991.9742,u,26.137
9.4492,57991.9777,u,26.138
9.4659,57991.9944,u,26.143
9.4712,57991.9997,u,26.144
9.7534,57992.2819,u,26.225
9.768,57992.2965,u,26.229
9.8193,57992.3478,u,26.244
9.905,57992.4335,u,26.268
9.9352,57992.4637,u,26.276
9.9695,57992.498,u,26.286
10.0321,57992.5606,u,26.304
10.0447,57992.5732,u,26.307
10.4462,57992.9747,u,26.417
10.4494,57992.9779,u,26.418
10.4528,57992.9813,u,26.419
10.4583,57992.9868,u,26.42
10.4715,57993.0,u,26.424
10.8813,57993.4098,u,26.533
11.4548,57993.9833,u,26.681
11.8273,57994.3558,u,26.774
12.4469,57994.9755,u,26.924
12.7734,57995.3019,u,27.001
13.4412,57995.9697,u,27.153
13.7195,57996.248,u,27.215
14.4459,57996.9744,u,27.371
14.6655,57997.194,u,27.417
15.4471,57997.9757,u,27.576
15.6116,57998.1401,u,27.608
16.4462,57998.9747,u,27.769
16.5576,57999.0862,u,27.79
17.5037,58000.0322,u,27.963
18.4498,58000.9783,u,28.127
0.4745,57983.0031,g,18.174
0.4752,57983.0037,g,18.172
0.6387,57983.1672,g,17.949
0.9809,57983.5094,g,17.966
1.043,57983.5715,g,18.0
1.4206,57983.9491,g,18.276
1.4478,57983.9764,g,18.3
1.4485,57983.977,g,18.3
1.4492,57983.9777,g,18.301
1.4499,57983.9784,g,18.301
1.4506,57983.9791,g,18.302
1.4512,57983.9798,g,18.303
1.4717,57984.0002,g,18.32
2.3667,57984.8952,g,19.318
2.4392,57984.9678,g,19.42
2.4461,57984.9747,g,19.429
2.4472,57984.9757,g,19.431
2.4479,57984.9764,g,19.432
2.4486,57984.9771,g,19.433
2.4492,57984.9778,g,19.434
2.4515,57984.98,g,19.437
3.3127,57985.8413,g,20.821
3.4541,57985.9826,g,21.036
3.4551,57985.9836,g,21.038
3.4556,57985.9841,g,21.038
3.4558,57985.9843,g,21.039
3.4564,57985.985,g,21.04
3.4571,57985.9856,g,21.041
4.2588,57986.7873,g,21.897
4.4449,57986.9734,g,21.974
4.4467,57986.9752,g,21.974
4.4491,57986.9777,g,21.975
4.4516,57986.9801,g,21.976
4.4552,57986.9837,g,21.978
4.4624,57986.9909,g,21.981
5.2049,57987.7334,g,22.283
5.446,57987.9745,g,22.379
5.4484,57987.977,g,22.38
5.4508,57987.9794,g,22.381
5.4545,57987.983,g,22.382
6.1509,57988.6795,g,22.649
6.4458,57988.9743,g,22.758
7.097,57989.6255,g,22.99
7.4376,57989.9661,g,23.106
7.4448,57989.9734,g,23.109
7.4509,57989.9794,g,23.111
7.4533,57989.9818,g,23.112
7.4581,57989.9866,g,23.113
8.0431,57990.5716,g,23.306
8.4446,57990.9732,g,23.434
8.4543,57990.9828,g,23.437
8.4591,57990.9877,g,23.438
8.4688,57990.9973,g,23.441
8.9891,57991.5176,g,23.601
9.4457,57991.9742,g,23.736
9.4492,57991.9777,g,23.737
9.4659,57991.9944,g,23.741
9.4712,57991.9997,g,23.743
9.7534,57992.2819,g,23.824
9.768,57992.2965,g,23.828
9.8193,57992.3478,g,23.843
9.905,57992.4335,g,23.867
9.9352,57992.4637,g,23.875
9.9695,57992.498,g,23.885
10.0321,57992.5606,g,23.902
10.0447,57992.5732,g,23.906
10.4462,57992.9747,g,24.016
10.4494,57992.9779,g,24.017
10.4528,57992.9813,g,24.018
10.4583,57992.9868,g,24.019
10.4715,57993.0,g,24.023
10.8813,57993.4098,g,24.132
11.4548,57993.9833,g,24.28
11.8273,57994.3558,g,24.373
12.4469,57994.9755,g,24.523
12.7734,57995.3019,g,24.6
13.4412,57995.9697,g,24.752
13.7195,57996.248,g,24.813
14.4459,57996.9744,g,24.97
14.6655,57997.194,g,25.016
15.4471,57997.9757,g,25.175
15.6116,57998.1401,g,25.207
16.4462,57998.9747,g,25.368
16.5576,57999.0862,g,25.389
17.5037,58000.0322,g,25.561
18.4498,58000.9783,g,25.726
0.4745,57983.0031,r,18.114
0.4752,57983.0037,r,18.113
0.6387,57983.1672,r,17.796
0.9809,57983.5094,r,17.594
1.043,57983.5715,r,17.588
1.4206,57983.9491,r,17.64
1.4478,57983.9764,r,17.648
1.4485,57983.977,r,17.648
1.4492,57983.9777,r,17.648
1.4499,57983.9784,r,17.648
1.4506,57983.9791,r,17.649
1.4512,57983.9798,r,17.649
1.4717,57984.0002,r,17.655
