time,mjd,band,mag
0.4745,57983.0031,u,17.142
0.4752,57983.0037,u,17.14
0.6387,57983.1672,u,16.954
0.9809,57983.5094,u,17.044
1.043,57983.5715,u,17.115
1.4206,57983.9491,u,17.843
1.4478,57983.9764,u,17.912
1.4485,57983.977,u,17.913
1.4492,57983.9777,u,17.915
1.4499,57983.9784,u,17.917
1.4506,57983.9791,u,17.919
1.4512,57983.9798,u,17.92
1.4717,57984.0002,u,17.974
2.3667,57984.8952,u,20.641
2.4392,57984.9678,u,20.863
2.4461,57984.9747,u,20.884
2.4472,57984.9757,u,20.887
2.4479,57984.9764,u,20.889
2.4486,57984.9771,u,20.891
2.4492,57984.9778,u,20.893
2.4515,57984.98,u,20.9
3.3127,57985.8413,u,23.225
3.4541,57985.9826,u,23.416
3.4551,57985.9836,u,23.417
3.4556,57985.9841,u,23.418
3.4558,57985.9843,u,23.418
3.4564,57985.985,u,23.419
3.4571,57985.9856,u,23.419
4.2588,57986.7873,u,23.803
4.4449,57986.9734,u,23.876
4.4467,57986.9752,u,23.876
4.4491,57986.9777,u,23.877
4.4516,57986.9801,u,23.878
4.4552,57986.9837,u,23.88
4.4624,57986.9909,u,23.882
5.2049,57987.7334,u,24.14
5.446,57987.9745,u,24.217
5.4484,57987.977,u,24.218
5.4508,57987.9794,u,24.218
5.4545,57987.983,u,24.22
6.1509,57988.6795,u,24.421
6.4458,57988.9743,u,24.501
7.097,57989.6255,u,24.663
7.4376,57989.9661,u,24.743
7.4448,57989.9734,u,24.744
7.4509,57989.9794,u,24.746
7.4533,57989.9818,u,24.746
7.4581,57989.9866,u,24.748
8.0431,57990.5716,u,24.876
8.4446,57990.9732,u,24.959
8.4543,57990.9828,u,24.961
8.4591,57990.9877,u,24.962
8.4688,57990.9973,u,24.964
8.9891,57991.5176,u,25.066
9.4457,57991.9742,u,25.151
9.4492,57991.9777,u,25.152
9.4659,57991.9944,u,25.155
9.4712,57991.9997,u,25.156
9.7534,57992.2819,u,25.207
9.768,57992.2965,u,25.209
9.8193,57992.3478,u,25.218
9.905,57992.4335,u,25.233
9.9352,57992.4637,u,25.239
9.9695,57992.498,u,25.245
10.0321,57992.5606,u,25.255
10.0447,57992.5732,u,25.258
10.4462,57992.9747,u,25.325
10.4494,57992.9779,u,25.326
10.4528,57992.9813,u,25.326
10.4583,57992.9868,u,25.327
10.4715,57993.0,u,25.33
10.8813,57993.4098,u,25.396
11.4548,57993.9833,u,25.486
11.8273,57994.3558,u,25.542
12.4469,57994.9755,u,25.632
12.7734,57995.3019,u,25.678
13.4412,57995.9697,u,25.768
13.7195,57996.248,u,25.805
14.4459,57996.9744,u,25.897
14.6655,57997.194,u,25.924
15.4471,57997.9757,u,26.017
15.6116,57998.1401,u,26.037
16.4462,57998.9747,u,26.131
16.5576,57999.0862,u,26.144
17.5037,58000.0322,u,26.245
18.4498,58000.9783,u,26.342
0.4745,57983.0031,g,17.234
0.4752,57983.0037,g,17.232
0.6387,57983.1672,g,16.977
0.9809,57983.5094,g,16.897
1.043,57983.5715,g,16.932
1.4206,57983.9491,g,17.4
1.4478,57983.9764,g,17.448
1.4485,57983.977,g,17.449
1.4492,57983.9777,g,17.45
1.4499,57983.9784,g,17.451
1.4506,57983.9791,g,17.452
1.4512,57983.9798,g,17.454
1.4717,57984.0002,g,17.491
2.3667,57984.8952,g,19.401
2.4392,57984.9678,g,19.561
2.4461,57984.9747,g,19.576
2.4472,57984.9757,g,19.578
2.4479,57984.9764,g,19.58
2.4486,57984.9771,g,19.581
2.4492,57984.9778,g,19.583
2.4515,57984.98,g,19.588
3.3127,57985.8413,g,21.281
3.4541,57985.9826,g,21.433
3.4551,57985.9836,g,21.434
3.4556,57985.9841,g,21.434
3.4558,57985.9843,g,21.434
3.4564,57985.985,g,21.435
3.4571,57985.9856,g,21.436
4.2588,57986.7873,g,21.809
4.4449,57986.9734,g,21.882
4.4467,57986.9752,g,21.883
4.4491,57986.9777,g,21.884
4.4516,57986.9801,g,21.885
4.4552,57986.9837,g,21.886
4.4624,57986.9909,g,21.889
5.2049,57987.7334,g,22.146
5.446,57987.9745,g,22.223
5.4484,57987.977,g,22.224
5.4508,57987.9794,g,22.225
5.4545,57987.983,g,22.226
6.1509,57988.6795,g,22.427
6.4458,57988.9743,g,22.507
7.097,57989.6255,g,22.669
7.4376,57989.9661,g,22.749
7.4448,57989.9734,g,22.751
7.4509,57989.9794,g,22.752
7.4533,57989.9818,g,22.753
7.4581,57989.9866,g,22.754
8.0431,57990.5716,g,22.883
8.4446,57990.9732,g,22.965
8.4543,57990.9828,g,22.967
8.4591,57990.9877,g,22.968
8.4688,57990.9973,g,22.97
8.9891,57991.5176,g,23.072
9.4457,57991.9742,g,23.158
9.4492,57991.9777,g,23.158
9.4659,57991.9944,g,23.162
9.4712,57991.9997,g,23.162
9.7534,57992.2819,g,23.213
9.768,57992.2965,g,23.216
9.8193,57992.3478,g,23.225
9.905,57992.4335,g,23.24
9.9352,57992.4637,g,23.245
9.9695,57992.498,g,23.251
10.0321,57992.5606,g,23.262
10.0447,57992.5732,g,23.264
10.4462,57992.9747,g,23.332
10.4494,57992.9779,g,23.332
10.4528,57992.9813,g,23.333
10.4583,57992.9868,g,23.334
10.4715,57993.0,g,23.336
10.8813,57993.4098,g,23.403
11.4548,57993.9833,g,23.492
11.8273,57994.3558,g,23.548
12.4469,57994.9755,g,23.638
12.7734,57995.3019,g,23.684
13.4412,57995.9697,g,23.775
13.7195,57996.248,g,23.811
14.4459,57996.9744,g,23.903
14.6655,57997.194,g,23.93
15.4471,57997.9757,g,24.024
15.6116,57998.1401,g,24.043
16.4462,57998.9747,g,24.137
16.5576,57999.0862,g,24.15
17.5037,58000.0322,g,24.252
18.4498,58000.9783,g,24.349
0.4745,57983.0031,r,17.529
0.4752,57983.0037,r,17.528
0.6387,57983.1672,r,17.201
0.9809,57983.5094,r,16.949
1.043,57983.5715,r,16.948
1.4206,57983.9491,r,17.161
1.4478,57983.9764,r,17.188
1.4485,57983.977,r,17.189
1.4492,57983.9777,r,17.19
1.4499,57983.9784,r,17.19
1.4506,57983.9791,r,17.191
1.4512,57983.9798,r,17.192
1.4717,57984.0002,r,17.213
2.3667,57984.8952,r,18.425
2.4392,57984.9678,r,18.532
2.4461,57984.9747,r,18.542
2.4472,57984.9757,r,18.543
2.4479,57984.9764,r,18.544
2.4486,57984.9771,r,18.545
2.4492,57984.9778,r,18.546
2.4515,57984.98,r,18.549
3.3127,57985.8413,r,19.709
3.4541,57985.9826,r,19.83
3.4551,57985.9836,r,19.831
3.4556,57985.9841,r,19.831
3.4558,57985.9843,r,19.831
3.4564,57985.985,r,19.832
3.4571,57985.9856,r,19.832
4.2588,57986.7873,r,20.198
4.4449,57986.9734,r,20.271
4.4467,57986.9752,r,20.271
4.4491,57986.9777,r,20.272
4.4516,57986.9801,r,20.273
4.4552,57986.9837,r,20.274
4.4624,57986.9909,r,20.277
5.2049,57987.7334,r,20.535
5.446,57987.9745,r,20.612
5.4484,57987.977,r,20.613
5.4508,57987.9794,r,20.613
5.4545,57987.983,r,20.615
6.1509,57988.6795,r,20.816
6.4458,57988.9743,r,20.896
7.097,57989.6255,r,21.058
7.4376,57989.9661,r,21.138
7.4448,57989.9734,r,21.139
7.4509,57989.9794,r,21.141
7.4533,57989.9818,r,21.141
7.4581,57989.9866,r,21.142
8.0431,57990.5716,r,21.271
8.4446,57990.9732,r,21.354
8.4543,57990.9828,r,21.356
8.4591,57990.9877,r,21.357
8.4688,57990.9973,r,21.359
8.9891,57991.5176,r,21.461
9.4457,57991.9742,r,21.546
9.4492,57991.9777,r,21.547
9.4659,57991.9944,r,21.55
9.4712,57991.9997,r,21.551
9.7534,57992.2819,r,21.601
9.768,57992.2965,r,21.604
9.8193,57992.3478,r,21.613
9.905,57992.4335,r,21.628
9.9352,57992.4637,r,21.634
9.9695,57992.498,r,21.64
10.0321,57992.5606,r,21.65
10.0447,57992.5732,r,21.653
10.4462,57992.9747,r,21.72
10.4494,57992.9779,r,21.721
10.4528,57992.9813,r,21.721
10.4583,57992.9868,r,21.722
10.4715,57993.0,r,21.725
10.8813,57993.4098,r,21.791
11.4548,57993.9833,r,21.881
11.8273,57994.3558,r,21.937
12.4469,57994.9755,r,22.027
12.7734,57995.3019,r,22.073
13.4412,57995.9697,r,22.163
13.7195,57996.248,r,22.199
14.4459,57996.9744,r,22.292
14.6655,57997.194,r,22.319
15.4471,57997.9757,r,22.412
15.6116,57998.1401,r,22.432
16.4462,57998.9747,r,22.526
16.5576,57999.0862,r,22.538
17.5037,58000.0322,r,22.64
18.4498,58000.9783,r,22.737
0.4745,57983.0031,i,17.73
0.4752,57983.0037,i,17.728
0.6387,57983.1672,i,17.367
0.9809,57983.5094,i,17.032
1.043,57983.5715,i,17.014
1.4206,57983.9491,i,17.101
1.4478,57983.9764,i,17.117
1.4485,57983.977,i,17.118
1.4492,57983.9777,i,17.118
1.4499,57983.9784,i,17.119
1.4506,57983.9791,i,17.119
1.4512,57983.9798,i,17.12
1.4717,57984.0002,i,17.133
2.3667,57984.8952,i,17.983
2.4392,57984.9678,i,18.06
