time,mjd,band,mag
0.4745,57983.0031,u,22.362
0.4752,57983.0037,u,22.362
0.6387,57983.1672,u,22.17
0.9809,57983.5094,u,21.874
1.043,57983.5715,u,21.832
1.4206,57983.9491,u,21.635
1.4478,57983.9764,u,21.623
1.4485,57983.977,u,21.622
1.4492,57983.9777,u,21.622
1.4499,57983.9784,u,21.622
1.4506,57983.9791,u,21.621
1.4512,57983.9798,u,21.621
1.4717,57984.0002,u,21.612
2.3667,57984.8952,u,21.36
2.4392,57984.9678,u,21.346
2.4461,57984.9747,u,21.345
2.4472,57984.9757,u,21.345
2.4479,57984.9764,u,21.345
2.4486,57984.9771,u,21.345
2.4492,57984.9778,u,21.345
2.4515,57984.98,u,21.344
3.3127,57985.8413,u,21.251
3.4541,57985.9826,u,21.242
3.4551,57985.9836,u,21.242
3.4556,57985.9841,u,21.242
3.4558,57985.9843,u,21.242
3.4564,57985.985,u,21.242
3.4571,57985.9856,u,21.242
4.2588,57986.7873,u,21.236
4.4449,57986.9734,u,21.243
4.4467,57986.9752,u,21.243
4.4491,57986.9777,u,21.243
4.4516,57986.9801,u,21.243
4.4552,57986.9837,u,21.244
4.4624,57986.9909,u,21.244
5.2049,57987.7334,u,21.292
5.446,57987.9745,u,21.315
5.4484,57987.977,u,21.316
5.4508,57987.9794,u,21.316
5.4545,57987.983,u,21.316
6.1509,57988.6795,u,21.401
6.4458,57988.9743,u,21.444
7.097,57989.6255,u,21.552
7.4376,57989.9661,u,21.616
7.4448,57989.9734,u,21.617
7.4509,57989.9794,u,21.619
7.4533,57989.9818,u,21.619
7.4581,57989.9866,u,21.62
8.0431,57990.5716,u,21.737
8.4446,57990.9732,u,21.824
8.4543,57990.9828,u,21.827
8.4591,57990.9877,u,21.828
8.4688,57990.9973,u,21.83
8.9891,57991.5176,u,21.948
9.4457,57991.9742,u,22.056
9.4492,57991.9777,u,22.056
9.4659,57991.9944,u,22.06
9.4712,57991.9997,u,22.062
9.7534,57992.2819,u,22.13
9.768,57992.2965,u,22.134
9.8193,57992.3478,u,22.146
9.905,57992.4335,u,22.168
9.9352,57992.4637,u,22.175
9.9695,57992.498,u,22.184
10.0321,57992.5606,u,22.199
10.0447,57992.5732,u,22.202
10.4462,57992.9747,u,22.302
10.4494,57992.9779,u,22.303
10.4528,57992.9813,u,22.304
10.4583,57992.9868,u,22.305
10.4715,57993.0,u,22.308
10.8813,57993.4098,u,22.41
11.4548,57993.9833,u,22.553
11.8273,57994.3558,u,22.646
12.4469,57994.9755,u,22.797
12.7734,57995.3019,u,22.876
13.4412,57995.9697,u,23.032
13.7195,57996.248,u,23.095
14.4459,57996.9744,u,23.254
14.6655,57997.194,u,23.3
15.4471,57997.9757,u,23.458
15.6116,57998.1401,u,23.49
16.4462,57998.9747,u,23.644
16.5576,57999.0862,u,23.664
17.5037,58000.0322,u,23.822
18.4498,58000.9783,u,23.966
0.4745,57983.0031,g,21.413
0.4752,57983.0037,g,21.413
0.6387,57983.1672,g,21.213
0.9809,57983.5094,g,20.916
1.043,57983.5715,g,20.874
1.4206,57983.9491,g,20.677
1.4478,57983.9764,g,20.665
1.4485,57983.977,g,20.664
1.4492,57983.9777,g,20.664
1.4499,57983.9784,g,20.664
1.4506,57983.9791,g,20.664
1.4512,57983.9798,g,20.663
1.4717,57984.0002,g,20.654
2.3667,57984.8952,g,20.403
2.4392,57984.9678,g,20.389
2.4461,57984.9747,g,20.387
2.4472,57984.9757,g,20.387
2.4479,57984.9764,g,20.387
2.4486,57984.9771,g,20.387
2.4492,57984.9778,g,20.387
2.4515,57984.98,g,20.386
3.3127,57985.8413,g,20.293
3.4541,57985.9826,g,20.284
3.4551,57985.9836,g,20.284
3.4556,57985.9841,g,20.284
3.4558,57985.9843,g,20.284
3.4564,57985.985,g,20.284
3.4571,57985.9856,g,20.284
4.2588,57986.7873,g,20.278
4.4449,57986.9734,g,20.285
4.4467,57986.9752,g,20.285
4.4491,57986.9777,g,20.285
4.4516,57986.9801,g,20.286
4.4552,57986.9837,g,20.286
4.4624,57986.9909,g,20.286
5.2049,57987.7334,g,20.334
5.446,57987.9745,g,20.358
5.4484,57987.977,g,20.358
5.4508,57987.9794,g,20.358
5.4545,57987.983,g,20.358
6.1509,57988.6795,g,20.443
6.4458,57988.9743,g,20.486
7.097,57989.6255,g,20.594
7.4376,57989.9661,g,20.658
7.4448,57989.9734,g,20.66
7.4509,57989.9794,g,20.661
7.4533,57989.9818,g,20.661
7.4581,57989.9866,g,20.662
8.0431,57990.5716,g,20.779
8.4446,57990.9732,g,20.867
8.4543,57990.9828,g,20.869
8.4591,57990.9877,g,20.87
8.4688,57990.9973,g,20.872
8.9891,57991.5176,g,20.991
9.4457,57991.9742,g,21.098
9.4492,57991.9777,g,21.099
9.4659,57991.9944,g,21.103
9.4712,57991.9997,g,21.104
9.7534,57992.2819,g,21.172
9.768,57992.2965,g,21.176
9.8193,57992.3478,g,21.189
9.905,57992.4335,g,21.21
9.9352,57992.4637,g,21.217
9.9695,57992.498,g,21.226
10.0321,57992.5606,g,21.241
10.0447,57992.5732,g,21.244
10.4462,57992.9747,g,21.344
10.4494,57992.9779,g,21.345
10.4528,57992.9813,g,21.346
10.4583,57992.9868,g,21.347
10.4715,57993.0,g,21.35
10.8813,57993.4098,g,21.452
11.4548,57993.9833,g,21.596
11.8273,57994.3558,g,21.688
12.4469,57994.9755,g,21.84
12.7734,57995.3019,g,21.918
13.4412,57995.9697,g,22.074
13.7195,57996.248,g,22.137
14.4459,57996.9744,g,22.296
14.6655,57997.194,g,22.342
15.4471,57997.9757,g,22.5
15.6116,57998.1401,g,22.532
16.4462,57998.9747,g,22.686
16.5576,57999.0862,g,22.706
17.5037,58000.0322,g,22.864
18.4498,58000.9783,g,23.009
0.4745,57983.0031,r,20.7
0.4752,57983.0037,r,20.7
0.6387,57983.1672,r,20.492
0.9809,57983.5094,r,20.195
1.043,57983.5715,r,20.153
1.4206,57983.9491,r,19.956
1.4478,57983.9764,r,19.944
1.4485,57983.977,r,19.944
1.4492,57983.9777,r,19.943
1.4499,57983.9784,r,19.943
1.4506,57983.9791,r,19.943
1.4512,57983.9798,r,19.942
1.4717,57984.0002,r,19.933
2.3667,57984.8952,r,19.682
2.4392,57984.9678,r,19.668
2.4461,57984.9747,r,19.666
2.4472,57984.9757,r,19.666
2.4479,57984.9764,r,19.666
2.4486,57984.9771,r,19.666
2.4492,57984.9778,r,19.666
2.4515,57984.98,r,19.665
3.3127,57985.8413,r,19.572
3.4541,57985.9826,r,19.563
3.4551,57985.9836,r,19.563
3.4556,57985.9841,r,19.563
3.4558,57985.9843,r,19.563
3.4564,57985.985,r,19.563
3.4571,57985.9856,r,19.563
4.2588,57986.7873,r,19.557
4.4449,57986.9734,r,19.564
4.4467,57986.9752,r,19.564
4.4491,57986.9777,r,19.565
4.4516,57986.9801,r,19.565
4.4552,57986.9837,r,19.565
4.4624,57986.9909,r,19.565
5.2049,57987.7334,r,19.613
5.446,57987.9745,r,19.637
5.4484,57987.977,r,19.637
5.4508,57987.9794,r,19.637
5.4545,57987.983,r,19.637
6.1509,57988.6795,r,19.722
6.4458,57988.9743,r,19.765
7.097,57989.6255,r,19.873
7.4376,57989.9661,r,19.937
7.4448,57989.9734,r,19.939
7.4509,57989.9794,r,19.94
7.4533,57989.9818,r,19.94
7.4581,57989.9866,r,19.941
8.0431,57990.5716,r,20.058
8.4446,57990.9732,r,20.146
8.4543,57990.9828,r,20.148
8.4591,57990.9877,r,20.149
8.4688,57990.9973,r,20.151
8.9891,57991.5176,r,20.27
9.4457,57991.9742,r,20.377
9.4492,57991.9777,r,20.378
9.4659,57991.9944,r,20.382
9.4712,57991.9997,r,20.383
9.7534,57992.2819,r,20.451
9.768,57992.2965,r,20.455
9.8193,57992.3478,r,20.468
9.905,57992.4335,r,20.489
9.9352,57992.4637,r,20.496
9.9695,57992.498,r,20.505
10.0321,57992.5606,r,20.52
10.0447,57992.5732,r,20.523
10.4462,57992.9747,r,20.623
10.4494,57992.9779,r,20.624
10.4528,57992.9813,r,20.625
10.4583,57992.9868,r,20.626
10.4715,57993.0,r,20.63
10.8813,57993.4098,r,20.731
11.4548,57993.9833,r,20.875
11.8273,57994.3558,r,20.967
12.4469,57994.9755,r,21.119
12.7734,57995.3019,r,21.197
13.4412,57995.9697,r,21.353
13.7195,57996.248,r,21.416
14.4459,57996.9744,r,21.575
14.6655,57997.194,r,21.621
15.4471,57997.9757,r,21.779
15.6116,57998.1401,r,21.811
16.4462,57998.9747,r,21.965
16.5576,57999.0862,r,21.985
17.5037,58000.0322,r,22.143
18.4498,58000.9783,r,22.288
0.4745,57983.0031,i,20.396
0.4752,57983.0037,i,20.395
0.6387,57983.1672,i,20.183
0.9809,57983.5094,i,19.887
1.043,57983.5715,i,19.845
1.4206,57983.9491,i,19.648
1.4478,57983.9764,i,19.636
1.4485,57983.977,i,19.635
1.4492,57983.9777,i,19.635
1.4499,57983.9784,i,19.635
1.4506,57983.9791,i,19.634
1.4512,57983.9798,i,19.634
1.4717,57984.0002,i,19.625
