time,mjd,band,mag
0.0,57982.5285,u,22.844
0.7368,57983.2654,u,23.776
1.4737,57984.0022,u,23.572
2.2105,57984.739,u,23.49
2.9474,57985.4759,u,23.478
3.6842,57986.2127,u,23.521
4.4211,57986.9496,u,23.603
5.1579,57987.6864,u,23.718
5.8947,57988.4233,u,23.863
6.6316,57989.1601,u,24.036
7.3684,57989.8969,u,24.228
8.1053,57990.6338,u,24.437
8.8421,57991.3706,u,24.66
9.5789,57992.1075,u,24.888
10.3158,57992.8443,u,25.119
11.0526,57993.5812,u,25.345
11.7895,57994.318,u,25.56
12.5263,57995.0548,u,25.763
13.2632,57995.7917,u,25.947
14.0,57996.5285,u,26.114
0.0,57982.5285,g,22.01
0.7368,57983.2654,g,22.338
1.4737,57984.0022,g,22.132
2.2105,57984.739,g,22.05
2.9474,57985.4759,g,22.039
3.6842,57986.2127,g,22.082
4.4211,57986.9496,g,22.164
5.1579,57987.6864,g,22.279
5.8947,57988.4233,g,22.424
6.6316,57989.1601,g,22.597
7.3684,57989.8969,g,22.789
8.1053,57990.6338,g,22.998
8.8421,57991.3706,g,23.22
9.5789,57992.1075,g,23.449
10.3158,57992.8443,g,23.679
11.0526,57993.5812,g,23.906
11.7895,57994.318,g,24.121
12.5263,57995.0548,g,24.323
13.2632,57995.7917,g,24.508
14.0,57996.5285,g,24.675
0.0,57982.5285,r,21.4
0.7368,57983.2654,r,21.191
1.4737,57984.0022,r,20.984
2.2105,57984.739,r,20.902
2.9474,57985.4759,r,20.89
3.6842,57986.2127,r,20.933
4.4211,57986.9496,r,21.015
5.1579,57987.6864,r,21.13
5.8947,57988.4233,r,21.275
6.6316,57989.1601,r,21.448
7.3684,57989.8969,r,21.64
8.1053,57990.6338,r,21.849
8.8421,57991.3706,r,22.072
9.5789,57992.1075,r,22.3
10.3158,57992.8443,r,22.531
11.0526,57993.5812,r,22.757
11.7895,57994.318,r,22.972
12.5263,57995.0548,r,23.175
13.2632,57995.7917,r,23.359
14.0,57996.5285,r,23.526
0.0,57982.5285,i,21.151
0.7368,57983.2654,i,20.656
1.4737,57984.0022,i,20.448
2.2105,57984.739,i,20.366
2.9474,57985.4759,i,20.355
3.6842,57986.2127,i,20.398
4.4211,57986.9496,i,20.48
5.1579,57987.6864,i,20.595
5.8947,57988.4233,i,20.74
6.6316,57989.1601,i,20.912
7.3684,57989.8969,i,21.104
8.1053,57990.6338,i,21.314
8.8421,57991.3706,i,21.536
9.5789,57992.1075,i,21.765
10.3158,57992.8443,i,21.995
11.0526,57993.5812,i,22.221
11.7895,57994.318,i,22.437
12.5263,57995.0548,i,22.639
13.2632,57995.7917,i,22.824
14.0,57996.5285,i,22.99
0.0,57982.5285,z,21.132
0.7368,57983.2654,z,20.441
1.4737,57984.0022,z,20.233
2.2105,57984.739,z,20.151
2.9474,57985.4759,z,20.14
3.6842,57986.2127,z,20.183
4.4211,57986.9496,z,20.265
5.1579,57987.6864,z,20.38
5.8947,57988.4233,z,20.525
6.6316,57989.1601,z,20.697
7.3684,57989.8969,z,20.889
8.1053,57990.6338,z,21.099
8.8421,57991.3706,z,21.321
9.5789,57992.1075,z,21.55
10.3158,57992.8443,z,21.78
11.0526,57993.5812,z,22.006
11.7895,57994.318,z,22.222
12.5263,57995.0548,z,22.424
13.2632,57995.7917,z,22.609
14.0,57996.5285,z,22.775
0.0,57982.5285,Y,21.08
0.7368,57983.2654,Y,20.308
1.4737,57984.0022,Y,20.099
2.2105,57984.739,Y,20.017
2.9474,57985.4759,Y,20.006
3.6842,57986.2127,Y,20.049
4.4211,57986.9496,Y,20.131
5.1579,57987.6864,Y,20.246
5.8947,57988.4233,Y,20.391
6.6316,57989.1601,Y,20.564
7.3684,57989.8969,Y,20.755
8.1053,57990.6338,Y,20.965
8.8421,57991.3706,Y,21.187
9.5789,57992.1075,Y,21.416
10.3158,57992.8443,Y,21.646
11.0526,57993.5812,Y,21.872
11.7895,57994.318,Y,22.088
12.5263,57995.0548,Y,22.29
13.2632,57995.7917,Y,22.475
14.0,57996.5285,Y,22.642
0.0,57982.5285,H,21.401
0.7368,57983.2654,H,20.253
1.4737,57984.0022,H,20.043
2.2105,57984.739,H,19.961
2.9474,57985.4759,H,19.95
3.6842,57986.2127,H,19.993
4.4211,57986.9496,H,20.075
5.1579,57987.6864,H,20.19
5.8947,57988.4233,H,20.335
6.6316,57989.1601,H,20.508
7.3684,57989.8969,H,20.699
8.1053,57990.6338,H,20.909
8.8421,57991.3706,H,21.131
9.5789,57992.1075,H,21.36
10.3158,57992.8443,H,21.59
11.0526,57993.5812,H,21.816
11.7895,57994.318,H,22.032
12.5263,57995.0548,H,22.234
13.2632,57995.7917,H,22.419
14.0,57996.5285,H,22.586
