time,mjd,band,mag
0.0,57982.5285,u,20.905
0.7368,57983.2654,u,21.136
1.4737,57984.0022,u,21.689
2.2105,57984.739,u,22.357
2.9474,57985.4759,u,23.114
3.6842,57986.2127,u,23.976
4.4211,57986.9496,u,24.944
5.1579,57987.6864,u,26.031
5.8947,57988.4233,u,27.254
6.6316,57989.1601,u,28.634
7.3684,57989.8969,u,30.17
8.1053,57990.6338,u,31.88
8.8421,57991.3706,u,33.771
9.5789,57992.1075,u,35.834
10.3158,57992.8443,u,37.648
11.0526,57993.5812,u,38.142
11.7895,57994.318,u,38.35
12.5263,57995.0548,u,38.55
13.2632,57995.7917,u,38.737
14.0,57996.5285,u,38.909
0.0,57982.5285,g,20.44
0.7368,57983.2654,g,20.216
1.4737,57984.0022,g,20.436
2.2105,57984.739,g,20.809
2.9474,57985.4759,g,21.284
3.6842,57986.2127,g,21.858
4.4211,57986.9496,g,22.525
5.1579,57987.6864,g,23.291
5.8947,57988.4233,g,24.165
6.6316,57989.1601,g,25.161
7.3684,57989.8969,g,26.277
8.1053,57990.6338,g,27.523
8.8421,57991.3706,g,28.905
9.5789,57992.1075,g,30.413
10.3158,57992.8443,g,31.752
11.0526,57993.5812,g,32.162
11.7895,57994.318,g,32.37
12.5263,57995.0548,g,32.57
13.2632,57995.7917,g,32.757
14.0,57996.5285,g,32.929
0.0,57982.5285,r,20.18
0.7368,57983.2654,r,19.528
1.4737,57984.0022,r,19.449
2.2105,57984.739,r,19.568
2.9474,57985.4759,r,19.806
3.6842,57986.2127,r,20.146
4.4211,57986.9496,r,20.575
5.1579,57987.6864,r,21.094
5.8947,57988.4233,r,21.706
6.6316,57989.1601,r,22.421
7.3684,57989.8969,r,23.235
8.1053,57990.6338,r,24.156
8.8421,57991.3706,r,25.188
9.5789,57992.1075,r,26.321
10.3158,57992.8443,r,27.342
11.0526,57993.5812,r,27.698
11.7895,57994.318,r,27.906
12.5263,57995.0548,r,28.105
13.2632,57995.7917,r,28.292
14.0,57996.5285,r,28.465
0.0,57982.5285,i,20.108
0.7368,57983.2654,i,19.237
1.4737,57984.0022,i,19.0
2.2105,57984.739,i,18.981
2.9474,57985.4759,i,19.09
3.6842,57986.2127,i,19.301
4.4211,57986.9496,i,19.598
5.1579,57987.6864,i,19.978
5.8947,57988.4233,i,20.443
6.6316,57989.1601,i,20.999
7.3684,57989.8969,i,21.643
8.1053,57990.6338,i,22.381
8.8421,57991.3706,i,23.214
9.5789,57992.1075,i,24.137
10.3158,57992.8443,i,24.98
11.0526,57993.5812,i,25.304
11.7895,57994.318,i,25.512
12.5263,57995.0548,i,25.712
13.2632,57995.7917,i,25.899
14.0,57996.5285,i,26.071
0.0,57982.5285,z,20.21
0.7368,57983.2654,z,19.191
1.4737,57984.0022,z,18.845
2.2105,57984.739,z,18.731
2.9474,57985.4759,z,18.749
3.6842,57986.2127,z,18.869
4.4211,57986.9496,z,19.072
5.1579,57987.6864,z,19.353
5.8947,57988.4233,z,19.712
6.6316,57989.1601,z,20.154
7.3684,57989.8969,z,20.675
8.1053,57990.6338,z,21.279
8.8421,57991.3706,z,21.968
9.5789,57992.1075,z,22.737
10.3158,57992.8443,z,23.449
11.0526,57993.5812,z,23.751
11.7895,57994.318,z,23.959
12.5263,57995.0548,z,24.159
13.2632,57995.7917,z,24.346
14.0,57996.5285,z,24.518
0.0,57982.5285,Y,20.208
0.7368,57983.2654,Y,19.128
1.4737,57984.0022,Y,18.737
2.2105,57984.739,Y,18.583
2.9474,57985.4759,Y,18.563
3.6842,57986.2127,Y,18.645
4.4211,57986.9496,Y,18.809
5.1579,57987.6864,Y,19.049
5.8947,57988.4233,Y,19.365
6.6316,57989.1601,Y,19.76
7.3684,57989.8969,Y,20.23
8.1053,57990.6338,Y,20.781
8.8421,57991.3706,Y,21.412
9.5789,57992.1075,Y,22.12
10.3158,57992.8443,Y,22.781
11.0526,57993.5812,Y,23.074
11.7895,57994.318,Y,23.282
12.5263,57995.0548,Y,23.482
13.2632,57995.7917,Y,23.669
14.0,57996.5285,Y,23.841
0.0,57982.5285,H,20.752
0.7368,57983.2654,H,19.396
1.4737,57984.0022,H,18.798
2.2105,57984.739,H,18.458
2.9474,57985.4759,H,18.259
3.6842,57986.2127,H,18.156
4.4211,57986.9496,H,18.127
5.1579,57987.6864,H,18.161
5.8947,57988.4233,H,18.253
6.6316,57989.1601,H,18.403
7.3684,57989.8969,H,18.605
8.1053,57990.6338,H,18.862
8.8421,57991.3706,H,19.173
9.5789,57992.1075,H,19.534
10.3158,57992.8443,H,19.9
11.0526,57993.5812,H,20.141
11.7895,57994.318,H,20.349
12.5263,57995.0548,H,20.549
13.2632,57995.7917,H,20.736
14.0,57996.5285,H,20.908
