time,mjd,band,mag
0.4745,57983.0031,u,18.693
0.4752,57983.0037,u,18.693
0.6387,57983.1672,u,18.594
0.9809,57983.5094,u,18.622
1.043,57983.5715,u,18.649
1.4206,57983.9491,u,18.928
1.4478,57983.9764,u,18.955
1.4485,57983.977,u,18.956
1.4492,57983.9777,u,18.956
1.4499,57983.9784,u,18.957
1.4506,57983.9791,u,18.958
1.4512,57983.9798,u,18.958
1.4717,57984.0002,u,18.979
2.3667,57984.8952,u,20.328
2.4392,57984.9678,u,20.477
2.4461,57984.9747,u,20.491
2.4472,57984.9757,u,20.493
2.4479,57984.9764,u,20.495
2.4486,57984.9771,u,20.496
2.4492,57984.9778,u,20.498
2.4515,57984.98,u,20.502
3.3127,57985.8413,u,22.554
3.4541,57985.9826,u,22.815
3.4551,57985.9836,u,22.816
3.4556,57985.9841,u,22.817
3.4558,57985.9843,u,22.818
3.4564,57985.985,u,22.819
3.4571,57985.9856,u,22.82
4.2588,57986.7873,u,23.92
4.4449,57986.9734,u,24.032
4.4467,57986.9752,u,24.033
4.4491,57986.9777,u,24.034
4.4516,57986.9801,u,24.036
4.4552,57986.9837,u,24.038
4.4624,57986.9909,u,24.042
5.2049,57987.7334,u,24.454
5.446,57987.9745,u,24.572
5.4484,57987.977,u,24.573
5.4508,57987.9794,u,24.574
5.4545,57987.983,u,24.576
6.1509,57988.6795,u,24.872
6.4458,57988.9743,u,24.98
7.097,57989.6255,u,25.189
7.4376,57989.9661,u,25.286
7.4448,57989.9734,u,25.288
7.4509,57989.9794,u,25.29
7.4533,57989.9818,u,25.291
7.4581,57989.9866,u,25.292
8.0431,57990.5716,u,25.443
8.4446,57990.9732,u,25.539
8.4543,57990.9828,u,25.541
8.4591,57990.9877,u,25.542
8.4688,57990.9973,u,25.544
8.9891,57991.5176,u,25.659
9.4457,57991.9742,u,25.754
9.4492,57991.9777,u,25.755
9.4659,57991.9944,u,25.758
9.4712,57991.9997,u,25.759
9.7534,57992.2819,u,25.815
9.768,57992.2965,u,25.818
9.8193,57992.3478,u,25.828
9.905,57992.4335,u,25.844
9.9352,57992.4637,u,25.85
9.9695,57992.498,u,25.856
10.0321,57992.5606,u,25.868
10.0447,57992.5732,u,25.871
10.4462,57992.9747,u,25.944
10.4494,57992.9779,u,25.944
10.4528,57992.9813,u,25.945
10.4583,57992.9868,u,25.946
10.4715,57993.0,u,25.948
10.8813,57993.4098,u,26.02
11.4548,57993.9833,u,26.116
11.8273,57994.3558,u,26.175
12.4469,57994.9755,u,26.269
12.7734,57995.3019,u,26.318
13.4412,57995.9697,u,26.412
13.7195,57996.248,u,26.45
14.4459,57996.9744,u,26.545
14.6655,57997.194,u,26.573
15.4471,57997.9757,u,26.669
15.6116,57998.1401,u,26.689
16.4462,57998.9747,u,26.785
16.5576,57999.0862,u,26.797
17.5037,58000.0322,u,26.9
18.4498,58000.9783,u,26.998
0.4745,57983.0031,g,18.43
0.4752,57983.0037,g,18.428
0.6387,57983.1672,g,18.228
0.9809,57983.5094,g,18.071
1.043,57983.5715,g,18.067
1.4206,57983.9491,g,18.155
1.4478,57983.9764,g,18.168
1.4485,57983.977,g,18.168
1.4492,57983.9777,g,18.169
1.4499,57983.9784,g,18.169
1.4506,57983.9791,g,18.169
1.4512,57983.9798,g,18.17
1.4717,57984.0002,g,18.18
2.3667,57984.8952,g,19.03
2.4392,57984.9678,g,19.133
2.4461,57984.9747,g,19.143
2.4472,57984.9757,g,19.144
2.4479,57984.9764,g,19.145
2.4486,57984.9771,g,19.146
2.4492,57984.9778,g,19.147
2.4515,57984.98,g,19.151
3.3127,57985.8413,g,20.624
3.4541,57985.9826,g,20.824
3.4551,57985.9836,g,20.825
3.4556,57985.9841,g,20.826
3.4558,57985.9843,g,20.826
3.4564,57985.985,g,20.827
3.4571,57985.9856,g,20.828
4.2588,57986.7873,g,21.723
4.4449,57986.9734,g,21.835
4.4467,57986.9752,g,21.836
4.4491,57986.9777,g,21.837
4.4516,57986.9801,g,21.839
4.4552,57986.9837,g,21.841
4.4624,57986.9909,g,21.845
5.2049,57987.7334,g,22.257
5.446,57987.9745,g,22.375
5.4484,57987.977,g,22.376
5.4508,57987.9794,g,22.377
5.4545,57987.983,g,22.379
6.1509,57988.6795,g,22.674
6.4458,57988.9743,g,22.782
7.097,57989.6255,g,22.992
7.4376,57989.9661,g,23.089
7.4448,57989.9734,g,23.091
7.4509,57989.9794,g,23.093
7.4533,57989.9818,g,23.093
7.4581,57989.9866,g,23.095
8.0431,57990.5716,g,23.246
8.4446,57990.9732,g,23.342
8.4543,57990.9828,g,23.344
8.4591,57990.9877,g,23.345
8.4688,57990.9973,g,23.347
8.9891,57991.5176,g,23.462
9.4457,57991.9742,g,23.557
9.4492,57991.9777,g,23.557
9.4659,57991.9944,g,23.561
9.4712,57991.9997,g,23.562
9.7534,57992.2819,g,23.618
9.768,57992.2965,g,23.62
9.8193,57992.3478,g,23.63
9.905,57992.4335,g,23.647
9.9352,57992.4637,g,23.653
9.9695,57992.498,g,23.659
10.0321,57992.5606,g,23.671
10.0447,57992.5732,g,23.673
10.4462,57992.9747,g,23.746
10.4494,57992.9779,g,23.747
10.4528,57992.9813,g,23.748
10.4583,57992.9868,g,23.749
10.4715,57993.0,g,23.751
10.8813,57993.4098,g,23.823
11.4548,57993.9833,g,23.918
11.8273,57994.3558,g,23.978
12.4469,57994.9755,g,24.072
12.7734,57995.3019,g,24.12
13.4412,57995.9697,g,24.215
13.7195,57996.248,g,24.253
14.4459,57996.9744,g,24.347
14.6655,57997.194,g,24.376
15.4471,57997.9757,g,24.471
15.6116,57998.1401,g,24.491
16.4462,57998.9747,g,24.587
16.5576,57999.0862,g,24.6
17.5037,58000.0322,g,24.703
18.4498,58000.9783,g,24.801
0.4745,57983.0031,r,18.366
0.4752,57983.0037,r,18.364
0.6387,57983.1672,r,18.065
0.9809,57983.5094,r,17.729
1.043,57983.5715,r,17.695
1.4206,57983.9491,r,17.603
1.4478,57983.9764,r,17.604
1.4485,57983.977,r,17.604
1.4492,57983.9777,r,17.604
1.4499,57983.9784,r,17.604
1.4506,57983.9791,r,17.604
1.4512,57983.9798,r,17.604
1.4717,57984.0002,r,17.604
2.3667,57984.8952,r,18.006
2.4392,57984.9678,r,18.069
2.4461,57984.9747,r,18.075
2.4472,57984.9757,r,18.076
2.4479,57984.9764,r,18.076
2.4486,57984.9771,r,18.077
2.4492,57984.9778,r,18.078
2.4515,57984.98,r,18.08
3.3127,57985.8413,r,19.066
3.4541,57985.9826,r,19.216
3.4551,57985.9836,r,19.217
3.4556,57985.9841,r,19.218
3.4558,57985.9843,r,19.218
3.4564,57985.985,r,19.219
3.4571,57985.9856,r,19.219
4.2588,57986.7873,r,19.947
4.4449,57986.9734,r,20.059
4.4467,57986.9752,r,20.061
4.4491,57986.9777,r,20.062
4.4516,57986.9801,r,20.063
4.4552,57986.9837,r,20.066
4.4624,57986.9909,r,20.07
5.2049,57987.7334,r,20.481
5.446,57987.9745,r,20.6
5.4484,57987.977,r,20.601
5.4508,57987.9794,r,20.602
5.4545,57987.983,r,20.604
6.1509,57988.6795,r,20.899
6.4458,57988.9743,r,21.007
7.097,57989.6255,r,21.217
7.4376,57989.9661,r,21.314
7.4448,57989.9734,r,21.316
7.4509,57989.9794,r,21.317
7.4533,57989.9818,r,21.318
7.4581,57989.9866,r,21.319
8.0431,57990.5716,r,21.471
8.4446,57990.9732,r,21.566
8.4543,57990.9828,r,21.569
8.4591,57990.9877,r,21.57
8.4688,57990.9973,r,21.572
8.9891,57991.5176,r,21.687
9.4457,57991.9742,r,21.781
9.4492,57991.9777,r,21.782
9.4659,57991.9944,r,21.786
9.4712,57991.9997,r,21.787
9.7534,57992.2819,r,21.842
9.768,57992.2965,r,21.845
9.8193,57992.3478,r,21.855
9.905,57992.4335,r,21.872
9.9352,57992.4637,r,21.877
9.9695,57992.498,r,21.884
10.0321,57992.5606,r,21.896
10.0447,57992.5732,r,21.898
10.4462,57992.9747,r,21.971
10.4494,57992.9779,r,21.972
10.4528,57992.9813,r,21.973
10.4583,57992.9868,r,21.974
10.4715,57993.0,r,21.976
10.8813,57993.4098,r,22.048
11.4548,57993.9833,r,22.143
11.8273,57994.3558,r,22.203
12.4469,57994.9755,r,22.297
12.7734,57995.3019,r,22.345
13.4412,57995.9697,r,22.44
13.7195,57996.248,r,22.477
14.4459,57996.9744,r,22.572
14.6655,57997.194,r,22.601
15.4471,57997.9757,r,22.696
15.6116,57998.1401,r,22.716
16.4462,57998.9747,r,22.812
16.5576,57999.0862,r,22.825
17.5037,58000.0322,r,22.928
18.4498,58000.9783,r,23.026
0.4745,57983.0031,i,18.392
0.4752,57983.0037,i,18.39
0.6387,57983.1672,i,18.042
0.9809,57983.5094,i,17.616
1.043,57983.5715,i,17.567
1.4206,57983.9491,i,17.383
1.4478,57983.9764,i,17.377
1.4485,57983.977,i,17.377
1.4492,57983.9777,i,17.377
1.4499,57983.9784,i,17.377
1.4506,57983.9791,i,17.376
1.4512,57983.9798,i,17.376
1.4717,57984.0002,i,17.372
2.3667,57984.8952,i,17.537
2.4392,57984.9678,i,17.578
2.4461,57984.9747,i,17.582
2.4472,57984.9757,i,17.583
2.4479,57984.9764,i,17.583
2.4486,57984.9771,i,17.584
2.4492,57984.9778,i,17.584
2.4515,57984.98,i,17.585
3.3127,57985.8413,i,18.307
3.4541,57985.9826,i,18.429
3.4551,57985.9836,i,18.43
3.4556,57985.9841,i,18.43
3.4558,57985.9843,i,18.43
3.4564,57985.985,i,18.431
3.4571,57985.9856,i,18.431
4.2588,57986.7873,i,19.068
4.4449,57986.9734,i,19.179
4.4467,57986.9752,i,19.181
4.4491,57986.9777,i,19.182
4.4516,57986.9801,i,19.183
4.4552,57986.9837,i,19.186
4.4624,57986.9909,i,19.19
5.2049,57987.7334,i,19.601
5.446,57987.9745,i,19.72
5.4484,57987.977,i,19.721
5.4508,57987.9794,i,19.722
5.4545,57987.983,i,19.724
6.1509,57988.6795,i,20.019
6.4458,57988.9743,i,20.127
7.097,57989.6255,i,20.337
7.4376,57989.9661,i,20.434
7.4448,57989.9734,i,20.436
7.4509,57989.9794,i,20.438
7.4533,57989.9818,i,20.438
7.4581,57989.9866,i,20.44
8.0431,57990.5716,i,20.591
8.4446,57990.9732,i,20.686
8.4543,57990.9828,i,20.689
8.4591,57990.9877,i,20.69
8.4688,57990.9973,i,20.692
8.9891,57991.5176,i,20.807
9.4457,57991.9742,i,20.901
9.4492,57991.9777,i,20.902
9.4659,57991.9944,i,20.906
9.4712,57991.9997,i,20.907
9.7534,57992.2819,i,20.962
