time,mjd,band,mag
0.0,57982.5285,u,17.905
0.7368,57983.2654,u,18.848
1.4737,57984.0022,u,21.559
2.2105,57984.739,u,22.35
2.9474,57985.4759,u,22.88
3.6842,57986.2127,u,23.278
4.4211,57986.9496,u,23.609
5.1579,57987.6864,u,23.897
5.8947,57988.4233,u,24.152
6.6316,57989.1601,u,24.382
7.3684,57989.8969,u,24.595
8.1053,57990.6338,u,24.789
8.8421,57991.3706,u,24.97
9.5789,57992.1075,u,25.139
10.3158,57992.8443,u,25.298
11.0526,57993.5812,u,25.446
11.7895,57994.318,u,25.587
12.5263,57995.0548,u,25.721
13.2632,57995.7917,u,25.848
14.0,57996.5285,u,25.969
0.0,57982.5285,g,17.697
0.7368,57983.2654,g,18.064
1.4737,57984.0022,g,20.029
2.2105,57984.739,g,20.817
2.9474,57985.4759,g,21.348
3.6842,57986.2127,g,21.746
4.4211,57986.9496,g,22.076
5.1579,57987.6864,g,22.365
5.8947,57988.4233,g,22.62
6.6316,57989.1601,g,22.849
7.3684,57989.8969,g,23.062
8.1053,57990.6338,g,23.256
8.8421,57991.3706,g,23.438
9.5789,57992.1075,g,23.606
10.3158,57992.8443,g,23.765
11.0526,57993.5812,g,23.914
11.7895,57994.318,g,24.055
12.5263,57995.0548,g,24.188
13.2632,57995.7917,g,24.315
14.0,57996.5285,g,24.436
0.0,57982.5285,r,17.689
0.7368,57983.2654,r,17.501
1.4737,57984.0022,r,18.802
2.2105,57984.739,r,19.589
2.9474,57985.4759,r,20.119
3.6842,57986.2127,r,20.517
4.4211,57986.9496,r,20.848
5.1579,57987.6864,r,21.136
5.8947,57988.4233,r,21.391
6.6316,57989.1601,r,21.621
7.3684,57989.8969,r,21.834
8.1053,57990.6338,r,22.027
8.8421,57991.3706,r,22.209
9.5789,57992.1075,r,22.377
10.3158,57992.8443,r,22.536
11.0526,57993.5812,r,22.685
11.7895,57994.318,r,22.826
12.5263,57995.0548,r,22.96
13.2632,57995.7917,r,23.087
14.0,57996.5285,r,23.208
0.0,57982.5285,i,17.742
0.7368,57983.2654,i,17.276
1.4737,57984.0022,i,18.224
2.2105,57984.739,i,19.01
2.9474,57985.4759,i,19.54
3.6842,57986.2127,i,19.938
4.4211,57986.9496,i,20.269
5.1579,57987.6864,i,20.557
5.8947,57988.4233,i,20.812
6.6316,57989.1601,i,21.042
7.3684,57989.8969,i,21.255
8.1053,57990.6338,i,21.448
8.8421,57991.3706,i,21.63
9.5789,57992.1075,i,21.798
10.3158,57992.8443,i,21.957
11.0526,57993.5812,i,22.106
11.7895,57994.318,i,22.247
12.5263,57995.0548,i,22.381
13.2632,57995.7917,i,22.508
14.0,57996.5285,i,22.628
0.0,57982.5285,z,17.926
0.7368,57983.2654,z,17.274
1.4737,57984.0022,z,17.979
2.2105,57984.739,z,18.765
2.9474,57985.4759,z,19.295
3.6842,57986.2127,z,19.693
4.4211,57986.9496,z,20.024
5.1579,57987.6864,z,20.312
5.8947,57988.4233,z,20.567
6.6316,57989.1601,z,20.797
7.3684,57989.8969,z,21.01
8.1053,57990.6338,z,21.203
8.8421,57991.3706,z,21.385
9.5789,57992.1075,z,21.553
10.3158,57992.8443,z,21.712
11.0526,57993.5812,z,21.861
11.7895,57994.318,z,22.002
12.5263,57995.0548,z,22.135
13.2632,57995.7917,z,22.262
14.0,57996.5285,z,22.383
0.0,57982.5285,Y,17.958
0.7368,57983.2654,Y,17.229
1.4737,57984.0022,Y,17.833
2.2105,57984.739,Y,18.619
2.9474,57985.4759,Y,19.149
3.6842,57986.2127,Y,19.547
4.4211,57986.9496,Y,19.878
5.1579,57987.6864,Y,20.166
5.8947,57988.4233,Y,20.421
6.6316,57989.1601,Y,20.65
7.3684,57989.8969,Y,20.863
8.1053,57990.6338,Y,21.057
8.8421,57991.3706,Y,21.239
9.5789,57992.1075,Y,21.407
10.3158,57992.8443,Y,21.566
11.0526,57993.5812,Y,21.715
11.7895,57994.318,Y,21.856
12.5263,57995.0548,Y,21.989
13.2632,57995.7917,Y,22.116
14.0,57996.5285,Y,22.237
0.0,57982.5285,H,18.656
0.7368,57983.2654,H,17.581
1.4737,57984.0022,H,17.719
2.2105,57984.739,H,18.503
2.9474,57985.4759,H,19.034
3.6842,57986.2127,H,19.432
4.4211,57986.9496,H,19.762
5.1579,57987.6864,H,20.051
5.8947,57988.4233,H,20.306
6.6316,57989.1601,H,20.535
7.3684,57989.8969,H,20.748
8.1053,57990.6338,H,20.942
8.8421,57991.3706,H,21.123
9.5789,57992.1075,H,21.292
10.3158,57992.8443,H,21.451
11.0526,57993.5812,H,21.6
11.7895,57994.318,H,21.741
12.5263,57995.0548,H,21.874
13.2632,57995.7917,H,22.001
14.0,57996.5285,H,22.122
