angDist,objID,RA_ICRS,DE_ICRS,errHalfMaj,errHalfMin,errPosAng,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,spCl,subCl,pmRA,pmDE,e_pmRA,e_pmDE,sigRA,sigDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,col1,col2,col3
1.466792,1237648722827805177,149.051573,1.225749,0.182,0.166,0,2,3,0,0.166,0.182,23.609,22.950,22.774,23.115,21.390,0.648,0.190,0.249,0.510,0.414,,,,,,,,,,,,,,,3,SDSS J095612.37+011332.6,,51259.2105,DC21cveh,149.0518404,1.22544207
1.492111,1237651752923038619,149.051499,1.225677,0.194,0.146,0,1,3,0,0.146,0.194,22.750,22.861,23.250,21.560,21.366,0.638,0.288,0.632,0.206,0.682,,,,,,,,,,,,0.4099,0.1377,0.6651,3,SDSS J095612.35+011332.4,,51669.2016,DC21cveh,149.0518404,1.22544207
3.342100,1237653665796129321,150.879543,2.702606,0.176,0.162,90,1,3,1,0.176,0.162,22.734,22.210,22.002,22.157,21.448,0.432,0.142,0.176,0.367,0.644,,,,,,,,,,,,0.8248,0.1729,0.4208,1,SDSS J100331.09+024209.3,,51878.4690,DC22gtxpt,150.8800947,2.701858899
3.639504,1237651754534437639,150.879465,2.702651,0.167,0.125,90,4,3,0,0.167,0.125,23.523,22.611,22.988,21.857,21.018,0.713,0.161,0.347,0.211,0.349,,,,,,,,,,,,,,,3,SDSS J100331.07+024209.5,,51669.2066,DC22gtxpt,150.8800947,2.701858899
2.980354,1237653665259127086,150.689125,2.480163,0.144,0.137,90,1,6,0,0.144,0.137,23.745,25.159,25.078,22.999,22.721,0.688,0.649,0.710,0.380,0.840,,,,,,,,,,,,,,,1,SDSS J100245.38+022848.5,,51878.4682,DC22gueme,150.6885231,2.479594106
3.049960,1237653665259192446,150.687880,2.480146,0.281,0.148,90,4,6,0,0.281,0.148,22.915,23.104,24.603,22.045,24.015,0.398,0.212,0.795,0.204,0.568,,,,,,,,,,,,,,,1,SDSS J100245.09+022848.5,,51878.4686,DC22gueme,150.6885231,2.479594106
3.193356,1237651754533913539,149.545555,2.472199,0.000,0.000,90,4,8,0,0.000,0.000,22.743,26.089,24.128,25.391,24.627,0.606,0.823,1.267,1.059,0.529,,,,,,,,,,,,,,,3,SDSS J095810.93+022819.9,,51669.2033,DC22gufog,149.5461783,2.471567341
3.781454,1237653665796129321,150.879543,2.702606,0.176,0.162,90,1,3,1,0.176,0.162,22.734,22.210,22.002,22.157,21.448,0.432,0.142,0.176,0.367,0.644,,,,,,,,,,,,0.8248,0.1729,0.4208,1,SDSS J100331.09+024209.3,,51878.4690,DC22gugtl,150.8805411,2.702274989
4.098084,1237651754534437639,150.879465,2.702651,0.167,0.125,90,4,3,0,0.167,0.125,23.523,22.611,22.988,21.857,21.018,0.713,0.161,0.347,0.211,0.349,,,,,,,,,,,,,,,3,SDSS J100331.07+024209.5,,51669.2066,DC22gugtl,150.8805411,2.702274989
2.946042,1237654671346565771,150.825930,0.980186,0.244,0.195,90,4,3,0,0.244,0.195,25.974,23.882,22.090,22.413,21.487,0.821,0.523,0.180,0.386,0.618,,,,,,,,,,,,,,,3,SDSS J100318.22+005848.6,,51962.3652,DC23jjlpf,150.8252112,0.9805782455
3.134467,1237653670616892278,150.825988,0.980185,0.217,0.124,90,2,3,0,0.217,0.124,24.880,23.634,23.724,21.466,21.047,1.231,0.446,0.703,0.168,0.435,,,,,,,,,,,,,,,1,SDSS J100318.23+005848.6,,51878.5056,DC23jjlpf,150.8252112,0.9805782455
3.759910,1237653666333000140,150.875790,3.328331,0.039,0.027,90,3,6,0,0.039,0.027,23.657,22.313,20.797,19.367,18.593,0.635,0.099,0.043,0.023,0.040,,,,,,,,,,,,,,,1,SDSS J100330.18+031941.9,,51878.4690,DC23jqqgs,150.8766755,3.328887456
3.759980,1237653666333000141,150.875790,3.328331,0.039,0.027,90,2,6,0,0.039,0.027,23.083,22.314,20.800,19.368,18.594,0.432,0.099,0.043,0.023,0.040,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1,SDSS J100330.18+031941.9,,51878.4690,DC23jqqgs,150.8766755,3.328887456
3.782518,1237654600490025492,150.875784,3.328328,0.043,0.033,90,1,6,1,0.043,0.033,24.741,22.163,20.796,19.399,18.584,1.002,0.097,0.045,0.020,0.029,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3,SDSS J100330.18+031941.9,,51960.2345,DC23jqqgs,150.8766755,3.328887456
3.901944,1237651737891701066,150.875751,3.328319,0.051,0.044,90,2,6,0,0.051,0.044,26.847,22.260,20.817,19.367,18.738,0.342,0.212,0.069,0.031,0.072,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1,SDSS J100330.18+031941.9,,51668.1915,DC23jqqgs,150.8766755,3.328887456
1.162391,1237653664721928615,149.853603,1.861335,0.144,0.112,90,1,3,1,0.144,0.112,23.032,22.731,22.020,21.595,22.839,0.441,0.178,0.170,0.178,1.074,,,,,,,,,,,,,,0.2081,3,SDSS J095924.86+015140.8,,51878.4661,DC23jsner,149.853385,1.861573409
