angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,col1,col2,col3
2.135103,ZFOURGE COSMOS 14715,150.0864258000,2.3366632000,,,172,2,10 00 20.7422,+02 20 11.988,C,2016ApJ...830...51S,Galaxy,G,257369.125,,2.6240000,,,,,,,,,,,,,,,,,,25.915,,,,,,,DC21ckge,150.0858818,2.336900486
3.619182,COSMOS2015 682442,150.0864868000,2.3360972000,,,172,3,10 00 20.7568,+02 20 09.950,C,2016ApJ...830...51S,Galaxy,G,222681.467,,1.6030000,,,,,,,,,,,,,,,,,,26.040,,,,,,,DC21ckge,150.0858818,2.336900486
4.354900,COSMOS2015 682423,150.0855400000,2.3357400000,,,172,4,10 00 20.53,+02 20 08.7,C,2013A&A...556A..55I,Galaxy,G|NIR,199107.779,,1.2260000,,,,,,,,,,,,,,25.750,25.810,25.650,24.840,24.550,25.170,,,,,,DC21ckge,150.0858818,2.336900486
4.446550,[NHM2017] 13147,150.0847430000,2.3373810000,,,172,1,10 00 20.338,+02 20 14.57,C,2017ApJS..228....7N,Galaxy,G,56464.299,,0.2100000,,,,,,,,,,,,,,,,,,24.410,,,,,,,DC21ckge,150.0858818,2.336900486
4.475140,COSMOS J100020.34+022014.7,150.0847500000,2.3374166667,,,172,1,10 00 20.34,+02 20 14.7,C,2007ApJS..172...99C,Galaxy,G,260183.477,,2.7600000,,,,,,,,,,,,,,26.610,25.490,25.210,24.670,,24.760,,,,,,DC21ckge,150.0858818,2.336900486
4.850048,COSMOS2015 895731,150.4392083333,2.6599722222,,,172,3,10 01 45.41,+02 39 35.9,C,2007ApJS..172...99C,Galaxy,G|NIR,219240.706,,1.5384000,,,,,,,,,,,0.004533,0.004533,0,26.883,26.002,25.470,21.730,21.410,21.190,,,,,,DC21fbia,150.4382218,2.659053587
4.053362,COSMOS2015 573425,150.1723100000,2.1729100000,,,172,3,10 00 41.35,+02 10 22.5,C,2013A&A...556A..55I,Galaxy,G|NIR,233467.135,,1.8355000,,,,,,,,,,,,,,27.940,26.740,26.560,24.820,24.680,23.420,,,,,,DC21fumn,150.1732252,2.173566765
1.779804,COSMOS2015 893914,150.3781500000,2.6579000000,,,172,1,10 01 30.76,+02 39 28.4,C,2013A&A...556A..55I,Galaxy,G,203485.911,,1.2860000,,,,,,,,,,,,,,25.450,25.210,25.370,24.570,24.890,23.740,,,,,,DC21fwyo,150.3786442,2.657873299
4.595210,ACS-GC 20173369,150.3796666667,2.6586388889,,,172,4,10 01 31.12,+02 39 31.1,C,2007ApJS..172...99C,AGN,AGN|G|NIR,200457.398,,1.2441000,,,,,,,,,,,,,,24.740,24.390,24.280,22.840,22.360,22.140,,,,,,DC21fwyo,150.3786442,2.657873299
4.836025,COSMOS2015 896025,150.3791666667,2.6591111111,,,172,3,10 01 31.00,+02 39 32.8,C,2007ApJS..172...99C,Galaxy,G|NIR,172488.300,,0.9261000,,,,,,,,,,,,,,24.180,23.870,23.810,22.660,22.490,22.250,,,,,,DC21fwyo,150.3786442,2.657873299
2.826157,COSMOS2015 806066,149.7990000000,2.5237777778,,,172,1,09 59 11.76,+02 31 25.6,C,2007ApJS..172...99C,Galaxy,G,230659.306,,1.7700000,,,,,,,,,,,,,,24.650,24.560,24.740,24.510,24.370,25.200,,,,,,DC21gaio,149.798612,2.52446045
2.683268,COSMOS2015 551969,150.3125833333,2.1404722222,,,172,3,10 01 15.02,+02 08 25.7,C,2007ApJS..172...99C,Galaxy,G|NIR,161898.773,,0.8298000,,,,,,,,,,,,,,24.510,24.130,23.970,23.050,22.930,22.800,,,,,,DC21gbkj,150.3119622,2.140884874
3.517505,COSMOS2015 552221,150.3124166667,2.1417500000,,,172,0,10 01 14.98,+02 08 30.3,C,2007ApJS..172...99C,Galaxy,G,97229.986,,0.4000000,,,,,,,,,,,,,,26.500,26.052,,,,22.754,,,,,,DC21gbkj,150.3119622,2.140884874
4.827601,COSMOS2015 898355,150.5722400000,2.6651800000,,,172,1,10 02 17.34,+02 39 54.6,C,2013A&A...556A..55I,Galaxy,G|NIR,156686.465,,0.7860000,,,,,,,,,,,,,,26.430,26.110,25.840,25.410,25.260,,,,,,,DC21ghtg,150.5720941,2.666513057
3.121959,COSMOS2015 931505,149.6622916667,2.7146388889,,,172,4,09 58 38.95,+02 42 52.7,C,2007ApJS..172...99C,Galaxy,G|NIR,56679.265,,0.2109000,,,,,,,,,,,,,,24.080,23.360,23.230,22.970,23.010,22.700,,,,23.000,,DC21gqwm,149.6614297,2.714742497
4.359743,COSMOS2015 575373,150.0443878000,2.1760478000,,,172,1,10 00 10.6531,+02 10 33.772,C,2016ApJ...830...51S,Galaxy,G,123589.580,,0.5501000,,,,,,,,,,,,,,,,,,,,,,,,,DC22enurv,150.0454516,2.176627954
4.715651,COSMOS2015 611109,149.9021300000,2.2287600000,,,172,3,09 59 36.51,+02 13 43.5,C,2013A&A...556A..55I,Galaxy,G|NIR,210837.717,,1.3959000,,,,,,,,,,,,,,,,,24.130,23.770,23.270,,,,,,DC22gtkhm,149.9025008,2.227503592
